q,alpha_p,alpha_h,s,v,T,tr,det,disc,l1_re,l1_im,l2_re,l2_im,absmax,sqrt_det
0.13,0.0650458580746109,0.0642773608752287,0.1284662177014598,0.03717815895040121,3.455421713400186,1.4538267862490573,0.5200659686146577,0.03334844995663122,0.8182211829847527,0.0,0.6356056032643043,0.0,0.8182211829847527,0.721155994646552
0.13040000000000002,0.06524628322778038,0.0644754640391496,0.12886160330876203,0.037292527594794414,3.4554269077419564,1.4534063766391547,0.520052942340483,0.03217832629342432,0.8163947797501909,0.0,0.6370115968889638,0.0,0.8163947797501909,0.72114696306681
0.13080000000000003,0.06544671100566882,0.06467357023932699,0.12925698991872597,0.03740689602743077,3.455432116686207,1.4529846836808247,0.5200398729307095,0.031004999288227975,0.8145335243748129,0.0,0.6384511593060118,0.0,0.8145335243748129,0.7211379014659467
0.13120000000000004,0.06564714141643109,0.06487167946415795,0.12965237749244438,0.03752126423587027,3.455437340208193,1.4525617071659003,0.5200267646160668,0.0298284546604477,0.8126354346143734,0.0,0.6399262725515271,0.0,0.8126354346143734,0.7211288127762382
0.13160000000000005,0.06584757446822304,0.06506979172294988,0.13004776603274204,0.037635632219622475,3.4554425782951963,1.4521374518128294,0.5200136131672584,0.028648726288424076,0.8106983990246893,0.0,0.6414390527881402,0.0,0.8106983990246893,0.721119694064209
0.13200000000000006,0.06604801016920148,0.06526790702502633,0.13044315554247377,0.03774999997820731,3.4554478309344967,1.4517119114459964,0.5200004194420395,0.027465796066030723,0.8087199950676157,0.0,0.6429919163783806,0.0,0.8087199950676157,0.7211105459234662
0.13240000000000007,0.06624844852752415,0.06546602537971191,0.1308385460244944,0.03786436751114654,3.4554530981133667,1.4512850907144603,0.5199871843600485,0.02627967708988521,0.8066975838956995,0.0,0.6445875068187608,0.0,0.8066975838956995,0.7211013689905522
0.13280000000000008,0.0664488895513498,0.06566414679631084,0.13123393748161583,0.03797873481795262,3.455458379818942,1.450856986287552,0.5199739073431346,0.025090365286859484,0.8046281858307739,0.0,0.646228800456778,0.0,0.8046281858307739,0.7210921628634821
0.1332000000000001,0.06664933324883814,0.0658622712841549,0.13162932991670268,0.03809310189815438,3.4554636760384203,1.4504276016347184,0.5199605879968351,0.023897875596500917,0.8025084895037563,0.0,0.6479191121309622,0.0,0.8025084895037563,0.7210829272676168
0.1336000000000001,0.06684977962814984,0.06606039885256168,0.13202472333258913,0.03820746875127493,3.4554689867588686,1.4499969331477347,0.5199472276472837,0.022702195548701454,0.8003347054445235,0.0,0.6496622277032111,0.0,0.8003347054445235,0.7210736631213789
0.13400000000000012,0.06705022869744656,0.0662585295108506,0.13242011773211076,0.038321835376839,3.455474311967401,1.4495649850593262,0.519933822732902,0.021503354978436473,0.7981026039903765,0.0,0.6514623810689497,0.0,0.7981026039903765,0.7210643679540003
0.13440000000000013,0.06725068046489094,0.06645666326834267,0.1328155131181041,0.03843620177437449,3.4554796516510256,1.4491317536224901,0.5199203794730924,0.02030132146462371,0.7958072297332408,0.0,0.6533245238892493,0.0,0.7958072297332408,0.7210550460769916
0.13480000000000014,0.06745113493864659,0.06665480013436716,0.1332109094934199,0.03855056794341511,3.4554850057967537,1.4486972413352284,0.5199068909960443,0.019096133068123855,0.7934430000846799,0.0,0.6552542412505487,0.0,0.7934430000846799,0.7210456927241464
0.13520000000000015,0.06765159212687812,0.06685294011823781,0.1336063068608757,0.03866493388348739,3.455490374391533,1.4482614467403732,0.5198933609611213,0.01788777427003385,0.7910033154203632,0.0,0.6572581313200101,0.0,0.7910033154203632,0.7210363104318126
0.13560000000000016,0.0678520520377511,0.06705108322928342,0.13400170522331686,0.03877929959412826,3.455495757422258,1.447824370462425,0.5198797892223042,0.016676250815700566,0.788480464625393,0.0,0.6593439058370318,0.0,0.788480464625393,0.7210268990976024
0.13600000000000018,0.06805251467943216,0.06724922947682754,0.13439710458357598,0.038893665074872415,3.455501154875846,1.4473860140973294,0.5198661764111927,0.015461568159783834,0.7858652841498527,0.0,0.6615207299474766,0.0,0.7858652841498527,0.7210174591583707
