c,q,alpha_h,s,v,lam_max,N_half
1.20,0.690,0.3738282938,0.7303639927,0.2109037541,0.6596959746,1.6663
1.20,0.691,0.3743927401,0.7314148032,0.2112094118,0.6594729908,1.6650
1.20,0.692,0.3749572876,0.7324655691,0.2115150886,0.6592494868,1.6636
1.20,0.693,0.3755219366,0.7335162903,0.2118207847,0.6590254629,1.6623
1.20,0.694,0.3760866872,0.7345669667,0.2121265002,0.6588009156,1.6609
1.20,0.695,0.3766515395,0.735617598,0.2124322354,0.6585758489,1.6595
1.20,0.696,0.3772164938,0.7366681842,0.2127379904,0.6583502633,1.6582
1.20,0.697,0.3777815502,0.737718725,0.2130437653,0.6581241450,1.6568
1.20,0.698,0.3783467089,0.7387692205,0.2133495604,0.6578975109,1.6555
1.20,0.699,0.3789119701,0.7398196703,0.2136553758,0.6576703518,1.6541
1.20,0.700,0.3794773338,0.7408700744,0.2139612117,0.6574426691,1.6527
1.20,0.701,0.3800428004,0.7419204326,0.2142670682,0.6572144569,1.6514
1.20,0.702,0.38060837,0.7429707448,0.2145729457,0.6569857243,1.6500
1.20,0.703,0.3811740426,0.7440210108,0.2148788441,0.6567564690,1.6486
1.20,0.704,0.3817398186,0.7450712305,0.2151847638,0.6565266828,1.6472
1.20,0.705,0.3823056981,0.7461214037,0.2154907049,0.6562963613,1.6459
1.20,0.706,0.3828716813,0.7471715303,0.2157966675,0.6560655182,1.6445
1.20,0.707,0.3834377682,0.7482216102,0.216102652,0.6558341474,1.6431
1.20,0.708,0.3840039592,0.7492716431,0.2164086583,0.6556022458,1.6417
1.20,0.709,0.3845702543,0.7503216289,0.2167146868,0.6553698166,1.6404
1.20,0.710,0.3851366538,0.7513715676,0.2170207376,0.6551368508,1.6390
1.20,0.711,0.3857031578,0.7524214589,0.2173268109,0.6549033661,1.6376
1.20,0.712,0.3862697665,0.7534713026,0.2176329069,0.6546693383,1.6362
1.20,0.713,0.3868364801,0.7545210987,0.2179390257,0.6544347753,1.6348
1.20,0.714,0.3874032987,0.755570847,0.2182451676,0.6541996905,1.6335
1.20,0.715,0.3879702226,0.7566205474,0.2185513328,0.6539640708,1.6321
