direction,amp,lam_linear,N_linear,lam_fitted,N_fitted,n_half_observed,prefactor,steps
r1,0.001,0.9991773427866794,842.2244635668691,0.9991699757066193,834.7460210197273,841,1.0139524370176871,5000
r1,0.003,0.9991773427866794,842.2244635668691,0.9991746554841601,839.4810715852836,840,1.001779501833318,5000
r1,0.01,0.9991773427866794,842.2244635668691,0.999175685065344,840.5300284864269,834,0.991020515798397,5000
theta,0.001,0.9991773427866794,842.2244635668691,0.9991790286525624,843.9546846399181,855,1.0101863048226862,5000
theta,0.003,0.9991773427866794,842.2244635668691,0.9991798882174819,844.8396028183039,880,1.0366930050569496,5000
theta,0.01,0.9991773427866794,842.2244635668691,0.9991856864336885,850.8576441922022,976,1.1360544602551188,5000
