direction,amp,n_evaluable,lam_linear,N_linear,lam_hat,N_hat,n_half_observed,prefactor,ratio_mean,ratio_sd,one_step_residual,modal_floor,rtol,atol,delta
r1,0.001,5000,0.9991773427866794,842.2244635668691,0.9991725673574195,837.3616643096392,841,1.0044104076240608,0.9991713302131926,5.9395528027437605e-06,2.304986277712609e-13,3.3250605158888287e-09,1e-12,1e-14,1e-07
r1,0.003,5000,0.9991773427866794,842.2244635668691,0.9991751415606329,839.9759692385625,840,0.9999756580898154,0.9991745776623993,1.5995511197251758e-06,2.304986277712609e-13,3.3250605158888287e-09,1e-12,1e-14,1e-07
r1,0.01,5000,0.9991773427866794,842.2244635668691,0.9991745704222724,839.394525943065,834,0.9949517733847132,0.9991738571732968,2.775761759621185e-06,2.304986277712609e-13,3.3250605158888287e-09,1e-12,1e-14,1e-07
theta,0.001,5000,0.9991773427866794,842.2244635668691,0.999179720308746,844.6665957818913,855,1.007720668956367,0.999180313099233,1.9308052509679956e-06,2.304986277712609e-13,3.3250605158888287e-09,1e-12,1e-14,1e-07
theta,0.003,5000,0.9991773427866794,842.2244635668691,0.9991829665507624,848.0240073598444,880,1.0253662116250024,0.9991843424412158,6.90446785127767e-06,2.304986277712609e-13,3.3250605158888287e-09,1e-12,1e-14,1e-07
theta,0.01,5000,0.9991773427866794,842.2244635668691,0.99919697510933,862.8236112326942,976,1.0911314750504495,0.9992013880433597,2.426104863391305e-05,2.304986277712609e-13,3.3250605158888287e-09,1e-12,1e-14,1e-07
