alpha,v,lam_max,lam1_re,lam1_im,lam2_re,lam2_im,lam3_re,lam3_im
0.020000,0.011864,1.673450,-1.673450e+00,0.000000e+00,9.977664e-01,0.000000e+00,2.872410e-10,0.000000e+00
0.024103,0.014297,1.674090,-1.674090e+00,0.000000e+00,9.967580e-01,0.000000e+00,2.865684e-10,0.000000e+00
0.026154,0.015513,1.674454,-1.674454e+00,0.000000e+00,9.961837e-01,0.000000e+00,2.870355e-10,0.000000e+00
0.028205,0.016729,1.674848,-1.674848e+00,0.000000e+00,9.955628e-01,0.000000e+00,2.860177e-10,0.000000e+00
0.030256,0.017945,1.675272,-1.675272e+00,0.000000e+00,9.948954e-01,0.000000e+00,2.864524e-10,0.000000e+00
0.032308,0.019161,1.675726,-1.675726e+00,0.000000e+00,9.941815e-01,0.000000e+00,2.864230e-10,0.000000e+00
0.034359,0.020377,1.676210,-1.676210e+00,0.000000e+00,9.934212e-01,0.000000e+00,2.842458e-10,0.000000e+00
0.036410,0.021593,1.676724,-1.676724e+00,0.000000e+00,9.926146e-01,0.000000e+00,2.851335e-10,0.000000e+00
0.038462,0.022808,1.677267,-1.677267e+00,0.000000e+00,9.917617e-01,0.000000e+00,2.841456e-10,0.000000e+00
0.040513,0.024024,1.677841,-1.677841e+00,0.000000e+00,9.908628e-01,0.000000e+00,2.858118e-10,0.000000e+00
0.042564,0.025239,1.678444,-1.678444e+00,0.000000e+00,9.899178e-01,0.000000e+00,2.849144e-10,0.000000e+00
0.044615,0.026454,1.679077,-1.679077e+00,0.000000e+00,9.889269e-01,0.000000e+00,2.855376e-10,0.000000e+00
0.046667,0.027669,1.679741,-1.679741e+00,0.000000e+00,9.878901e-01,0.000000e+00,2.824703e-10,0.000000e+00
0.048718,0.028883,1.680434,-1.680434e+00,0.000000e+00,9.868077e-01,0.000000e+00,2.817139e-10,0.000000e+00
0.050769,0.030098,1.681158,-1.681158e+00,0.000000e+00,9.856796e-01,0.000000e+00,2.823644e-10,0.000000e+00
0.052821,0.031312,1.681911,-1.681911e+00,0.000000e+00,9.845061e-01,0.000000e+00,2.828831e-10,0.000000e+00
0.054872,0.032526,1.682695,-1.682695e+00,0.000000e+00,9.832873e-01,0.000000e+00,2.815429e-10,0.000000e+00
0.056923,0.033740,1.683509,-1.683509e+00,0.000000e+00,9.820232e-01,0.000000e+00,2.803137e-10,0.000000e+00
0.058974,0.034953,1.684353,-1.684353e+00,0.000000e+00,9.807141e-01,0.000000e+00,2.795385e-10,0.000000e+00
0.061026,0.036166,1.685227,-1.685227e+00,0.000000e+00,9.793600e-01,0.000000e+00,2.792370e-10,0.000000e+00
0.063077,0.037379,1.686131,-1.686131e+00,0.000000e+00,9.779612e-01,0.000000e+00,2.762468e-10,0.000000e+00
0.065128,0.038592,1.687066,-1.687066e+00,0.000000e+00,9.765177e-01,0.000000e+00,2.774883e-10,0.000000e+00
0.067179,0.039805,1.688031,-1.688031e+00,0.000000e+00,9.750298e-01,0.000000e+00,2.772557e-10,0.000000e+00
0.069231,0.041017,1.689026,-1.689026e+00,0.000000e+00,9.734975e-01,0.000000e+00,2.760365e-10,0.000000e+00
0.071282,0.042229,1.690052,-1.690052e+00,0.000000e+00,9.719211e-01,0.000000e+00,2.762960e-10,0.000000e+00
0.073333,0.043440,1.691108,-1.691108e+00,0.000000e+00,9.703008e-01,0.000000e+00,2.728368e-10,0.000000e+00
0.075385,0.044652,1.692194,-1.692194e+00,0.000000e+00,9.686366e-01,0.000000e+00,2.714525e-10,0.000000e+00
0.077436,0.045863,1.693311,-1.693311e+00,0.000000e+00,9.669288e-01,0.000000e+00,2.733010e-10,0.000000e+00
0.079487,0.047073,1.694459,-1.694459e+00,0.000000e+00,9.651776e-01,0.000000e+00,2.753715e-10,0.000000e+00
0.081538,0.048283,1.695637,-1.695637e+00,0.000000e+00,9.633832e-01,0.000000e+00,2.721380e-10,0.000000e+00
0.083590,0.049493,1.696846,-1.696846e+00,0.000000e+00,9.615457e-01,0.000000e+00,2.696158e-10,0.000000e+00
0.085641,0.050703,1.698085,-1.698085e+00,0.000000e+00,9.596654e-01,0.000000e+00,2.695186e-10,0.000000e+00
0.087692,0.051912,1.699355,-1.699355e+00,0.000000e+00,9.577425e-01,0.000000e+00,2.693790e-10,0.000000e+00
0.089744,0.053121,1.700656,-1.700656e+00,0.000000e+00,9.557771e-01,0.000000e+00,2.665530e-10,0.000000e+00
0.091795,0.054330,1.701988,-1.701988e+00,0.000000e+00,9.537695e-01,0.000000e+00,2.648082e-10,0.000000e+00
0.093846,0.055538,1.703350,-1.703350e+00,0.000000e+00,9.517199e-01,0.000000e+00,2.654387e-10,0.000000e+00
0.095897,0.056746,1.704743,-1.704743e+00,0.000000e+00,9.496286e-01,0.000000e+00,2.637079e-10,0.000000e+00
0.097949,0.057953,1.706167,-1.706167e+00,0.000000e+00,9.474957e-01,0.000000e+00,2.606515e-10,0.000000e+00
0.100000,0.059160,1.707622,-1.707622e+00,0.000000e+00,9.453216e-01,0.000000e+00,2.585713e-10,0.000000e+00
0.107955,0.063837,1.713558,-1.713558e+00,0.000000e+00,9.365044e-01,0.000000e+00,2.601899e-10,0.000000e+00
0.115909,0.068507,1.719963,-1.719963e+00,0.000000e+00,9.270844e-01,0.000000e+00,2.585955e-10,0.000000e+00
0.123864,0.073169,1.726839,-1.726839e+00,0.000000e+00,9.170772e-01,0.000000e+00,2.523743e-10,0.000000e+00
0.131818,0.077824,1.734189,-1.734189e+00,0.000000e+00,9.064996e-01,0.000000e+00,2.427729e-10,0.000000e+00
0.139773,0.082472,1.742015,-1.742015e+00,0.000000e+00,8.953691e-01,0.000000e+00,2.398494e-10,0.000000e+00
0.147727,0.087110,1.750319,-1.750319e+00,0.000000e+00,8.837043e-01,0.000000e+00,2.284972e-10,0.000000e+00
0.155682,0.091740,1.759104,-1.759104e+00,0.000000e+00,8.715248e-01,0.000000e+00,2.236094e-10,0.000000e+00
0.163636,0.096360,1.768372,-1.768372e+00,0.000000e+00,8.588511e-01,0.000000e+00,2.228111e-10,0.000000e+00
0.171591,0.100971,1.778123,-1.778123e+00,0.000000e+00,8.457043e-01,0.000000e+00,2.193294e-10,0.000000e+00
0.179545,0.105571,1.788360,-1.788360e+00,0.000000e+00,8.321067e-01,0.000000e+00,2.050260e-10,0.000000e+00
0.187500,0.110161,1.799082,-1.799082e+00,0.000000e+00,8.180812e-01,0.000000e+00,2.056273e-10,0.000000e+00
0.195455,0.114740,1.810289,-1.810289e+00,0.000000e+00,8.036514e-01,0.000000e+00,1.980480e-10,0.000000e+00
0.203409,0.119308,1.821980,-1.821980e+00,0.000000e+00,7.888415e-01,0.000000e+00,1.861570e-10,0.000000e+00
0.211364,0.123864,1.834155,-1.834155e+00,0.000000e+00,7.736764e-01,0.000000e+00,1.861827e-10,0.000000e+00
0.219318,0.128408,1.846809,-1.846809e+00,0.000000e+00,7.581817e-01,0.000000e+00,1.755584e-10,0.000000e+00
0.227273,0.132940,1.859940,-1.859940e+00,0.000000e+00,7.423832e-01,0.000000e+00,1.589012e-10,0.000000e+00
0.235227,0.137459,1.873542,-1.873542e+00,0.000000e+00,7.263072e-01,0.000000e+00,1.551386e-10,0.000000e+00
0.243182,0.141965,1.887610,-1.887610e+00,0.000000e+00,7.099804e-01,0.000000e+00,1.486303e-10,0.000000e+00
0.251136,0.146458,1.902135,-1.902135e+00,0.000000e+00,6.934296e-01,0.000000e+00,1.422474e-10,0.000000e+00
0.259091,0.150937,1.917109,-1.917109e+00,0.000000e+00,6.766820e-01,0.000000e+00,1.241368e-10,0.000000e+00
0.267045,0.155403,1.932519,-1.932519e+00,0.000000e+00,6.597646e-01,0.000000e+00,1.233365e-10,0.000000e+00
0.275000,0.159854,1.948353,-1.948353e+00,0.000000e+00,6.427047e-01,0.000000e+00,1.124850e-10,0.000000e+00
0.282955,0.164291,1.964596,-1.964596e+00,0.000000e+00,6.255291e-01,0.000000e+00,1.065001e-10,0.000000e+00
0.290909,0.168714,1.981229,-1.981229e+00,0.000000e+00,6.082648e-01,0.000000e+00,1.110752e-10,0.000000e+00
0.298864,0.173122,1.998234,-1.998234e+00,0.000000e+00,5.909382e-01,0.000000e+00,8.892954e-11,0.000000e+00
0.306818,0.177515,2.015588,-2.015588e+00,0.000000e+00,5.735756e-01,0.000000e+00,9.079834e-11,0.000000e+00
0.314773,0.181893,2.033264,-2.033264e+00,0.000000e+00,5.562026e-01,0.000000e+00,7.585144e-11,0.000000e+00
0.322727,0.186256,2.051235,-2.051235e+00,0.000000e+00,5.388444e-01,0.000000e+00,8.022955e-11,0.000000e+00
0.330682,0.190604,2.069469,-2.069469e+00,0.000000e+00,5.215254e-01,0.000000e+00,7.536023e-11,0.000000e+00
0.338636,0.194936,2.087930,-2.087930e+00,0.000000e+00,5.042696e-01,0.000000e+00,6.135933e-11,0.000000e+00
0.346591,0.199253,2.106579,-2.106579e+00,0.000000e+00,4.870997e-01,0.000000e+00,5.398639e-11,0.000000e+00
0.354545,0.203555,2.125375,-2.125375e+00,0.000000e+00,4.700381e-01,0.000000e+00,6.285139e-11,0.000000e+00
0.362500,0.207842,2.144270,-2.144270e+00,0.000000e+00,4.531057e-01,0.000000e+00,2.382193e-11,0.000000e+00
0.370455,0.212113,2.163214,-2.163214e+00,0.000000e+00,4.363229e-01,0.000000e+00,4.367617e-11,0.000000e+00
0.378409,0.216369,2.182152,-2.182152e+00,0.000000e+00,4.197086e-01,0.000000e+00,3.049030e-11,0.000000e+00
0.386364,0.220609,2.201023,-2.201023e+00,0.000000e+00,4.032809e-01,0.000000e+00,4.040649e-11,0.000000e+00
0.394318,0.224835,2.219763,-2.219763e+00,0.000000e+00,3.870566e-01,0.000000e+00,3.340919e-11,0.000000e+00
0.402273,0.229045,2.238303,-2.238303e+00,0.000000e+00,3.710515e-01,0.000000e+00,1.075798e-11,0.000000e+00
0.410227,0.233241,2.256567,-2.256567e+00,0.000000e+00,3.552800e-01,0.000000e+00,3.291571e-12,0.000000e+00
0.418182,0.237422,2.274476,-2.274476e+00,0.000000e+00,3.397553e-01,0.000000e+00,2.396451e-11,0.000000e+00
0.426136,0.241589,2.291943,-2.291943e+00,0.000000e+00,3.244895e-01,0.000000e+00,1.919670e-11,0.000000e+00
0.434091,0.245742,2.308876,-2.308876e+00,0.000000e+00,3.094933e-01,0.000000e+00,-1.731551e-12,0.000000e+00
0.442045,0.249881,2.325179,-2.325179e+00,0.000000e+00,2.947763e-01,0.000000e+00,-7.010193e-12,0.000000e+00
0.450000,0.254006,2.340745,-2.340745e+00,0.000000e+00,2.803467e-01,0.000000e+00,-5.479213e-12,0.000000e+00
