alpha,v,lam_max,lam1_re,lam1_im,lam2_re,lam2_im,lam3_re,lam3_im
0.020000,0.011696,0.995789,9.957890e-01,0.000000e+00,-4.608885e-01,0.000000e+00,-3.539540e-10,0.000000e+00
0.022051,0.012895,0.994882,9.948820e-01,0.000000e+00,-4.610317e-01,0.000000e+00,-3.554360e-10,0.000000e+00
0.024103,0.014094,0.993887,9.938867e-01,0.000000e+00,-4.611891e-01,0.000000e+00,-3.547360e-10,0.000000e+00
0.026154,0.015293,0.992803,9.928034e-01,0.000000e+00,-4.613607e-01,0.000000e+00,-3.541123e-10,0.000000e+00
0.028205,0.016492,0.991632,9.916322e-01,0.000000e+00,-4.615466e-01,0.000000e+00,-3.544117e-10,0.000000e+00
0.030256,0.017691,0.990373,9.903732e-01,0.000000e+00,-4.617468e-01,0.000000e+00,-3.538377e-10,0.000000e+00
0.032308,0.018890,0.989026,9.890265e-01,0.000000e+00,-4.619615e-01,0.000000e+00,-3.558703e-10,0.000000e+00
0.034359,0.020088,0.987592,9.875922e-01,0.000000e+00,-4.621907e-01,0.000000e+00,-3.555573e-10,0.000000e+00
0.036410,0.021287,0.986071,9.860706e-01,0.000000e+00,-4.624345e-01,0.000000e+00,-3.543128e-10,0.000000e+00
0.038462,0.022485,0.984462,9.844617e-01,0.000000e+00,-4.626930e-01,0.000000e+00,-3.540357e-10,0.000000e+00
0.040513,0.023683,0.982766,9.827658e-01,0.000000e+00,-4.629663e-01,0.000000e+00,-3.557683e-10,0.000000e+00
0.042564,0.024881,0.980983,9.809830e-01,0.000000e+00,-4.632545e-01,0.000000e+00,-3.524160e-10,0.000000e+00
0.044615,0.026079,0.979113,9.791134e-01,0.000000e+00,-4.635576e-01,0.000000e+00,-3.561994e-10,0.000000e+00
0.046667,0.027277,0.977157,9.771574e-01,0.000000e+00,-4.638759e-01,0.000000e+00,-3.557942e-10,0.000000e+00
0.048718,0.028475,0.975115,9.751151e-01,0.000000e+00,-4.642093e-01,0.000000e+00,-3.536665e-10,0.000000e+00
0.050769,0.029672,0.972987,9.729867e-01,0.000000e+00,-4.645581e-01,0.000000e+00,-3.559544e-10,0.000000e+00
0.052821,0.030869,0.970772,9.707725e-01,0.000000e+00,-4.649224e-01,0.000000e+00,-3.565961e-10,0.000000e+00
0.054872,0.032066,0.968473,9.684726e-01,0.000000e+00,-4.653023e-01,0.000000e+00,-3.575344e-10,0.000000e+00
0.056923,0.033263,0.966087,9.660874e-01,0.000000e+00,-4.656980e-01,0.000000e+00,-3.535801e-10,0.000000e+00
0.058974,0.034459,0.963617,9.636171e-01,0.000000e+00,-4.661095e-01,0.000000e+00,-3.560724e-10,0.000000e+00
0.061026,0.035656,0.961062,9.610619e-01,0.000000e+00,-4.665371e-01,0.000000e+00,-3.555380e-10,0.000000e+00
0.063077,0.036852,0.958422,9.584222e-01,0.000000e+00,-4.669810e-01,0.000000e+00,-3.580941e-10,0.000000e+00
0.065128,0.038048,0.955698,9.556982e-01,0.000000e+00,-4.674412e-01,0.000000e+00,-3.525604e-10,0.000000e+00
0.067179,0.039243,0.952890,9.528902e-01,0.000000e+00,-4.679179e-01,0.000000e+00,-3.579290e-10,0.000000e+00
