alpha,v,lam_max,lam1_re,lam1_im,lam2_re,lam2_im,lam3_re,lam3_im
0.020000,0.011809,1.298081,-1.298081e+00,0.000000e+00,9.973762e-01,0.000000e+00,1.328342e-10,0.000000e+00
0.024103,0.014230,1.298684,-1.298684e+00,0.000000e+00,9.961915e-01,0.000000e+00,1.311061e-10,0.000000e+00
0.026154,0.015441,1.299028,-1.299028e+00,0.000000e+00,9.955169e-01,0.000000e+00,1.329267e-10,0.000000e+00
0.028205,0.016652,1.299401,-1.299401e+00,0.000000e+00,9.947875e-01,0.000000e+00,1.316680e-10,0.000000e+00
0.030256,0.017862,1.299801,-1.299801e+00,0.000000e+00,9.940035e-01,0.000000e+00,1.315582e-10,0.000000e+00
0.032308,0.019072,1.300230,-1.300230e+00,0.000000e+00,9.931650e-01,0.000000e+00,1.321099e-10,0.000000e+00
0.034359,0.020283,1.300687,-1.300687e+00,0.000000e+00,9.922720e-01,0.000000e+00,1.305597e-10,0.000000e+00
0.036410,0.021493,1.301172,-1.301172e+00,0.000000e+00,9.913246e-01,0.000000e+00,1.313426e-10,0.000000e+00
0.038462,0.022702,1.301686,-1.301686e+00,0.000000e+00,9.903230e-01,0.000000e+00,1.313104e-10,0.000000e+00
0.040513,0.023912,1.302229,-1.302229e+00,0.000000e+00,9.892673e-01,0.000000e+00,1.314982e-10,0.000000e+00
0.042564,0.025122,1.302800,-1.302800e+00,0.000000e+00,9.881576e-01,0.000000e+00,1.291550e-10,0.000000e+00
0.044615,0.026331,1.303399,-1.303399e+00,0.000000e+00,9.869941e-01,0.000000e+00,1.286123e-10,0.000000e+00
0.046667,0.027540,1.304027,-1.304027e+00,0.000000e+00,9.857768e-01,0.000000e+00,1.277567e-10,0.000000e+00
0.048718,0.028749,1.304684,-1.304684e+00,0.000000e+00,9.845059e-01,0.000000e+00,1.285288e-10,0.000000e+00
0.050769,0.029958,1.305369,-1.305369e+00,0.000000e+00,9.831816e-01,0.000000e+00,1.287922e-10,0.000000e+00
0.052821,0.031167,1.306084,-1.306084e+00,0.000000e+00,9.818040e-01,0.000000e+00,1.263569e-10,0.000000e+00
0.054872,0.032375,1.306827,-1.306827e+00,0.000000e+00,9.803733e-01,0.000000e+00,1.266004e-10,0.000000e+00
0.056923,0.033583,1.307599,-1.307599e+00,0.000000e+00,9.788897e-01,0.000000e+00,1.277349e-10,0.000000e+00
0.058974,0.034791,1.308400,-1.308400e+00,0.000000e+00,9.773532e-01,0.000000e+00,1.262589e-10,0.000000e+00
0.061026,0.035999,1.309230,-1.309230e+00,0.000000e+00,9.757642e-01,0.000000e+00,1.244113e-10,0.000000e+00
0.063077,0.037206,1.310089,-1.310089e+00,0.000000e+00,9.741228e-01,0.000000e+00,1.259441e-10,0.000000e+00
0.065128,0.038414,1.310978,-1.310978e+00,0.000000e+00,9.724291e-01,0.000000e+00,1.268895e-10,0.000000e+00
0.067179,0.039621,1.311896,-1.311896e+00,0.000000e+00,9.706835e-01,0.000000e+00,1.255093e-10,0.000000e+00
0.069231,0.040827,1.312843,-1.312843e+00,0.000000e+00,9.688860e-01,0.000000e+00,1.239978e-10,0.000000e+00
0.071282,0.042034,1.313819,-1.313819e+00,0.000000e+00,9.670369e-01,0.000000e+00,1.207506e-10,0.000000e+00
0.073333,0.043240,1.314825,-1.314825e+00,0.000000e+00,9.651365e-01,0.000000e+00,1.223386e-10,0.000000e+00
0.075385,0.044446,1.315861,-1.315861e+00,0.000000e+00,9.631849e-01,0.000000e+00,1.227597e-10,0.000000e+00
0.077436,0.045651,1.316926,-1.316926e+00,0.000000e+00,9.611824e-01,0.000000e+00,1.229409e-10,0.000000e+00
0.079487,0.046856,1.318022,-1.318022e+00,0.000000e+00,9.591292e-01,0.000000e+00,1.243414e-10,0.000000e+00
0.081538,0.048061,1.319147,-1.319147e+00,0.000000e+00,9.570256e-01,0.000000e+00,1.177785e-10,0.000000e+00
0.083590,0.049266,1.320302,-1.320302e+00,0.000000e+00,9.548718e-01,0.000000e+00,1.160812e-10,0.000000e+00
0.085641,0.050470,1.321487,-1.321487e+00,0.000000e+00,9.526681e-01,0.000000e+00,1.174943e-10,0.000000e+00
0.087692,0.051674,1.322702,-1.322702e+00,0.000000e+00,9.504147e-01,0.000000e+00,1.182558e-10,0.000000e+00
0.089744,0.052877,1.323948,-1.323948e+00,0.000000e+00,9.481119e-01,0.000000e+00,1.178396e-10,0.000000e+00
0.091795,0.054080,1.325224,-1.325224e+00,0.000000e+00,9.457600e-01,0.000000e+00,1.181253e-10,0.000000e+00
0.093846,0.055283,1.326530,-1.326530e+00,0.000000e+00,9.433593e-01,0.000000e+00,1.151483e-10,0.000000e+00
0.095897,0.056485,1.327867,-1.327867e+00,0.000000e+00,9.409100e-01,0.000000e+00,1.158155e-10,0.000000e+00
0.097949,0.057687,1.329235,-1.329235e+00,0.000000e+00,9.384125e-01,0.000000e+00,1.132007e-10,0.000000e+00
0.100000,0.058889,1.330633,-1.330633e+00,0.000000e+00,9.358670e-01,0.000000e+00,1.145212e-10,0.000000e+00
0.107955,0.063545,1.336350,-1.336350e+00,0.000000e+00,9.255485e-01,0.000000e+00,1.125106e-10,0.000000e+00
0.115909,0.068194,1.342538,-1.342538e+00,0.000000e+00,9.145327e-01,0.000000e+00,1.048632e-10,0.000000e+00
0.123864,0.072836,1.349206,-1.349206e+00,0.000000e+00,9.028398e-01,0.000000e+00,1.054875e-10,0.000000e+00
0.131818,0.077471,1.356359,-1.356359e+00,0.000000e+00,8.904917e-01,0.000000e+00,1.015041e-10,0.000000e+00
0.139773,0.082099,1.364006,-1.364006e+00,0.000000e+00,8.775113e-01,0.000000e+00,9.742186e-11,0.000000e+00
0.147727,0.086718,1.372155,-1.372155e+00,0.000000e+00,8.639231e-01,0.000000e+00,9.457566e-11,0.000000e+00
0.155682,0.091328,1.380813,-1.380813e+00,0.000000e+00,8.497529e-01,0.000000e+00,9.223522e-11,0.000000e+00
0.163636,0.095929,1.389989,-1.389989e+00,0.000000e+00,8.350277e-01,0.000000e+00,8.387022e-11,0.000000e+00
0.171591,0.100521,1.399691,-1.399691e+00,0.000000e+00,8.197759e-01,0.000000e+00,8.247366e-11,0.000000e+00
0.179545,0.105104,1.409925,-1.409925e+00,0.000000e+00,8.040270e-01,0.000000e+00,7.694827e-11,0.000000e+00
0.187500,0.109676,1.420700,-1.420700e+00,0.000000e+00,7.878115e-01,0.000000e+00,6.690513e-11,0.000000e+00
0.195455,0.114237,1.432023,-1.432023e+00,0.000000e+00,7.711611e-01,0.000000e+00,7.157956e-11,0.000000e+00
0.203409,0.118788,1.443900,-1.443900e+00,0.000000e+00,7.541086e-01,0.000000e+00,6.272136e-11,0.000000e+00
0.211364,0.123328,1.456338,-1.456338e+00,0.000000e+00,7.366875e-01,0.000000e+00,6.459844e-11,0.000000e+00
0.219318,0.127856,1.469340,-1.469340e+00,0.000000e+00,7.189322e-01,0.000000e+00,4.762611e-11,0.000000e+00
0.227273,0.132372,1.482911,-1.482911e+00,0.000000e+00,7.008777e-01,0.000000e+00,4.113390e-11,0.000000e+00
0.235227,0.136876,1.497055,-1.497055e+00,0.000000e+00,6.825597e-01,0.000000e+00,3.113689e-11,0.000000e+00
0.243182,0.141368,1.511771,-1.511771e+00,0.000000e+00,6.640141e-01,0.000000e+00,3.067533e-11,0.000000e+00
0.251136,0.145847,1.527061,-1.527061e+00,0.000000e+00,6.452775e-01,0.000000e+00,3.157002e-11,0.000000e+00
0.259091,0.150313,1.542921,-1.542921e+00,0.000000e+00,6.263863e-01,0.000000e+00,1.254445e-11,0.000000e+00
0.267045,0.154766,1.559348,-1.559348e+00,0.000000e+00,6.073769e-01,0.000000e+00,2.011260e-11,0.000000e+00
0.275000,0.159206,1.576334,-1.576334e+00,0.000000e+00,5.882860e-01,0.000000e+00,1.679910e-11,0.000000e+00
0.282955,0.163632,1.593871,-1.593871e+00,0.000000e+00,5.691493e-01,0.000000e+00,1.313627e-11,0.000000e+00
0.290909,0.168045,1.611947,-1.611947e+00,0.000000e+00,5.500025e-01,0.000000e+00,5.144012e-12,0.000000e+00
0.298864,0.172444,1.630545,-1.630545e+00,0.000000e+00,5.308806e-01,0.000000e+00,9.091855e-12,0.000000e+00
0.306818,0.176829,1.649647,-1.649647e+00,0.000000e+00,5.118175e-01,0.000000e+00,7.772786e-12,0.000000e+00
0.314773,0.181200,1.669230,-1.669230e+00,0.000000e+00,4.928463e-01,0.000000e+00,-1.088466e-11,0.000000e+00
0.322727,0.185556,1.689268,-1.689268e+00,0.000000e+00,4.739990e-01,0.000000e+00,-6.184144e-12,0.000000e+00
0.330682,0.189899,1.709729,-1.709729e+00,0.000000e+00,4.553061e-01,0.000000e+00,-2.367935e-11,0.000000e+00
0.338636,0.194228,1.730578,-1.730578e+00,0.000000e+00,4.367969e-01,0.000000e+00,-1.569118e-11,0.000000e+00
0.346591,0.198542,1.751775,-1.751775e+00,0.000000e+00,4.184989e-01,0.000000e+00,-1.592577e-11,0.000000e+00
0.354545,0.202842,1.773273,-1.773273e+00,0.000000e+00,4.004381e-01,0.000000e+00,-5.282337e-12,0.000000e+00
0.362500,0.207128,1.795021,-1.795021e+00,0.000000e+00,3.826386e-01,0.000000e+00,-3.245672e-11,0.000000e+00
0.370455,0.211400,1.816963,-1.816963e+00,0.000000e+00,3.651225e-01,0.000000e+00,-2.236732e-11,0.000000e+00
0.378409,0.215658,1.839036,-1.839036e+00,0.000000e+00,3.479103e-01,0.000000e+00,-2.834797e-11,0.000000e+00
0.386364,0.219902,1.861171,-1.861171e+00,0.000000e+00,3.310203e-01,0.000000e+00,-4.564164e-11,0.000000e+00
0.394318,0.224132,1.883291,-1.883291e+00,0.000000e+00,3.144686e-01,0.000000e+00,-4.987660e-11,0.000000e+00
0.402273,0.228350,1.905317,-1.905317e+00,0.000000e+00,2.982697e-01,0.000000e+00,-4.486650e-11,0.000000e+00
0.410227,0.232553,1.927157,-1.927157e+00,0.000000e+00,2.824357e-01,0.000000e+00,-4.493633e-11,0.000000e+00
0.418182,0.236744,1.948717,-1.948717e+00,0.000000e+00,2.669768e-01,0.000000e+00,-3.694707e-11,0.000000e+00
0.426136,0.240922,1.969893,-1.969893e+00,0.000000e+00,2.519013e-01,0.000000e+00,-3.610691e-11,0.000000e+00
0.434091,0.245088,1.990574,-1.990574e+00,0.000000e+00,2.372154e-01,0.000000e+00,-3.564496e-11,0.000000e+00
0.442045,0.249242,2.010643,-2.010643e+00,0.000000e+00,2.229236e-01,0.000000e+00,-5.872164e-11,0.000000e+00
0.450000,0.253384,2.029972,-2.029972e+00,0.000000e+00,2.090284e-01,0.000000e+00,-6.910685e-11,0.000000e+00
