alpha,v,lam_max,lam1_re,lam1_im,lam2_re,lam2_im,lam3_re,lam3_im
0.020000,0.011753,0.996787,9.967869e-01,0.000000e+00,-8.952832e-01,0.000000e+00,-5.276517e-11,0.000000e+00
0.024103,0.014163,0.995336,9.953359e-01,0.000000e+00,-8.958006e-01,0.000000e+00,-5.311389e-11,0.000000e+00
0.026154,0.015368,0.994510,9.945097e-01,0.000000e+00,-8.960957e-01,0.000000e+00,-5.280396e-11,0.000000e+00
0.028205,0.016573,0.993616,9.936164e-01,0.000000e+00,-8.964152e-01,0.000000e+00,-5.495885e-11,0.000000e+00
0.030256,0.017777,0.992656,9.926563e-01,0.000000e+00,-8.967590e-01,0.000000e+00,-5.403424e-11,0.000000e+00
0.032308,0.018982,0.991629,9.916294e-01,0.000000e+00,-8.971272e-01,0.000000e+00,-5.490729e-11,0.000000e+00
0.034359,0.020186,0.990536,9.905358e-01,0.000000e+00,-8.975200e-01,0.000000e+00,-5.434384e-11,0.000000e+00
0.036410,0.021391,0.989376,9.893757e-01,0.000000e+00,-8.979373e-01,0.000000e+00,-5.374258e-11,0.000000e+00
0.038462,0.022595,0.988149,9.881493e-01,0.000000e+00,-8.983793e-01,0.000000e+00,-5.423226e-11,0.000000e+00
0.040513,0.023799,0.986857,9.868566e-01,0.000000e+00,-8.988460e-01,0.000000e+00,-5.320047e-11,0.000000e+00
0.042564,0.025003,0.985498,9.854979e-01,0.000000e+00,-8.993376e-01,0.000000e+00,-5.348939e-11,0.000000e+00
0.044615,0.026206,0.984073,9.840732e-01,0.000000e+00,-8.998540e-01,0.000000e+00,-5.554672e-11,0.000000e+00
0.046667,0.027410,0.982583,9.825828e-01,0.000000e+00,-9.003955e-01,0.000000e+00,-5.510712e-11,0.000000e+00
0.048718,0.028613,0.981027,9.810269e-01,0.000000e+00,-9.009620e-01,0.000000e+00,-5.470702e-11,0.000000e+00
0.050769,0.029816,0.979406,9.794056e-01,0.000000e+00,-9.015537e-01,0.000000e+00,-5.616779e-11,0.000000e+00
0.052821,0.031019,0.977719,9.777191e-01,0.000000e+00,-9.021707e-01,0.000000e+00,-5.798224e-11,0.000000e+00
0.054872,0.032222,0.975968,9.759677e-01,0.000000e+00,-9.028131e-01,0.000000e+00,-5.608160e-11,0.000000e+00
0.056923,0.033425,0.974152,9.741516e-01,0.000000e+00,-9.034810e-01,0.000000e+00,-5.496135e-11,0.000000e+00
0.058974,0.034627,0.972271,9.722709e-01,0.000000e+00,-9.041745e-01,0.000000e+00,-5.595217e-11,0.000000e+00
0.061026,0.035829,0.970326,9.703260e-01,0.000000e+00,-9.048938e-01,0.000000e+00,-5.520869e-11,0.000000e+00
0.063077,0.037031,0.968317,9.683171e-01,0.000000e+00,-9.056389e-01,0.000000e+00,-5.724508e-11,0.000000e+00
0.065128,0.038232,0.966244,9.662443e-01,0.000000e+00,-9.064101e-01,0.000000e+00,-5.843228e-11,0.000000e+00
0.067179,0.039434,0.964108,9.641080e-01,0.000000e+00,-9.072074e-01,0.000000e+00,-5.824831e-11,0.000000e+00
0.069231,0.040635,0.961908,9.619085e-01,0.000000e+00,-9.080310e-01,0.000000e+00,-5.736115e-11,0.000000e+00
