alpha,v,lam_max,lam1_re,lam1_im,lam2_re,lam2_im,lam3_re,lam3_im
0.020000,0.011897,1.886934,-1.886934e+00,0.000000e+00,9.979433e-01,0.000000e+00,3.744766e-10,0.000000e+00
0.024103,0.014336,1.887584,-1.887584e+00,0.000000e+00,9.970150e-01,0.000000e+00,3.748085e-10,0.000000e+00
0.026154,0.015556,1.887954,-1.887954e+00,0.000000e+00,9.964862e-01,0.000000e+00,3.746495e-10,0.000000e+00
0.028205,0.016775,1.888355,-1.888355e+00,0.000000e+00,9.959146e-01,0.000000e+00,3.723624e-10,0.000000e+00
0.030256,0.017995,1.888786,-1.888786e+00,0.000000e+00,9.953000e-01,0.000000e+00,3.730706e-10,0.000000e+00
0.032308,0.019214,1.889247,-1.889247e+00,0.000000e+00,9.946427e-01,0.000000e+00,3.733086e-10,0.000000e+00
0.034359,0.020433,1.889739,-1.889739e+00,0.000000e+00,9.939425e-01,0.000000e+00,3.737491e-10,0.000000e+00
0.036410,0.021652,1.890260,-1.890260e+00,0.000000e+00,9.931998e-01,0.000000e+00,3.719775e-10,0.000000e+00
0.038462,0.022871,1.890812,-1.890812e+00,0.000000e+00,9.924144e-01,0.000000e+00,3.703834e-10,0.000000e+00
0.040513,0.024090,1.891395,-1.891395e+00,0.000000e+00,9.915866e-01,0.000000e+00,3.694251e-10,0.000000e+00
0.042564,0.025308,1.892008,-1.892008e+00,0.000000e+00,9.907163e-01,0.000000e+00,3.700547e-10,0.000000e+00
0.044615,0.026526,1.892651,-1.892651e+00,0.000000e+00,9.898037e-01,0.000000e+00,3.693237e-10,0.000000e+00
0.046667,0.027745,1.893324,-1.893324e+00,0.000000e+00,9.888488e-01,0.000000e+00,3.670290e-10,0.000000e+00
0.048718,0.028962,1.894028,-1.894028e+00,0.000000e+00,9.878518e-01,0.000000e+00,3.676097e-10,0.000000e+00
0.050769,0.030180,1.894762,-1.894762e+00,0.000000e+00,9.868128e-01,0.000000e+00,3.690632e-10,0.000000e+00
0.052821,0.031398,1.895527,-1.895527e+00,0.000000e+00,9.857319e-01,0.000000e+00,3.670385e-10,0.000000e+00
