alpha,v,lam_max,lam1_re,lam1_im,lam2_re,lam2_im,lam3_re,lam3_im
0.171591,0.098706,0.711880,5.281007e-01,4.773700e-01,5.281007e-01,-4.773700e-01,-7.892294e-11,0.000000e+00
0.179545,0.103222,0.710787,5.066302e-01,4.985412e-01,5.066302e-01,-4.985412e-01,-8.371552e-11,0.000000e+00
0.187500,0.107730,0.709631,4.843157e-01,5.186657e-01,4.843157e-01,-5.186657e-01,-8.521444e-11,0.000000e+00
0.195455,0.112231,0.708411,4.611778e-01,5.377369e-01,4.611778e-01,-5.377369e-01,-9.160261e-11,0.000000e+00
0.203409,0.116723,0.707125,4.372385e-01,5.557414e-01,4.372385e-01,-5.557414e-01,-1.043346e-10,0.000000e+00
0.211364,0.121207,0.705772,4.125214e-01,5.726609e-01,4.125214e-01,-5.726609e-01,-1.085873e-10,0.000000e+00
0.219318,0.125683,0.704350,3.870520e-01,5.884727e-01,3.870520e-01,-5.884727e-01,-1.093091e-10,0.000000e+00
0.227273,0.130150,0.702858,3.608576e-01,6.031510e-01,3.608576e-01,-6.031510e-01,-1.092212e-10,0.000000e+00
0.235227,0.134609,0.701294,3.339677e-01,6.166672e-01,3.339677e-01,-6.166672e-01,-1.281973e-10,0.000000e+00
0.243182,0.139059,0.699656,3.064134e-01,6.289905e-01,3.064134e-01,-6.289905e-01,-1.344461e-10,0.000000e+00
0.251136,0.143501,0.697943,2.782286e-01,6.400884e-01,2.782286e-01,-6.400884e-01,-1.380246e-10,0.000000e+00
0.259091,0.147933,0.696153,2.494489e-01,6.499267e-01,2.494489e-01,-6.499267e-01,-1.408753e-10,0.000000e+00
0.267045,0.152357,0.694286,2.201127e-01,6.584703e-01,2.201127e-01,-6.584703e-01,-1.330599e-10,0.000000e+00
0.275000,0.156771,0.692339,1.902607e-01,6.656827e-01,1.902607e-01,-6.656827e-01,-1.412904e-10,0.000000e+00
