alpha,v,lam_max,lam1_re,lam1_im,lam2_re,lam2_im,lam3_re,lam3_im
0.020000,0.011637,0.993718,9.937176e-01,0.000000e+00,1.059286e-02,0.000000e+00,1.469809e-08,0.000000e+00
0.022051,0.012831,0.992362,9.923622e-01,0.000000e+00,1.075033e-02,0.000000e+00,1.447304e-08,0.000000e+00
0.024103,0.014024,0.990874,9.908743e-01,0.000000e+00,1.092360e-02,0.000000e+00,1.426727e-08,0.000000e+00
0.026154,0.015217,0.989254,9.892539e-01,0.000000e+00,1.111280e-02,0.000000e+00,1.402568e-08,0.000000e+00
0.028205,0.016410,0.987501,9.875007e-01,0.000000e+00,1.131807e-02,0.000000e+00,1.379717e-08,0.000000e+00
0.030256,0.017603,0.985615,9.856148e-01,0.000000e+00,1.153955e-02,0.000000e+00,1.353628e-08,0.000000e+00
0.032308,0.018796,0.983596,9.835960e-01,0.000000e+00,1.177741e-02,0.000000e+00,1.324033e-08,0.000000e+00
0.034359,0.019988,0.981444,9.814443e-01,0.000000e+00,1.203181e-02,0.000000e+00,1.297421e-08,0.000000e+00
0.036410,0.021181,0.979159,9.791594e-01,0.000000e+00,1.230296e-02,0.000000e+00,1.270980e-08,0.000000e+00
0.038462,0.022373,0.976741,9.767414e-01,0.000000e+00,1.259106e-02,0.000000e+00,1.243418e-08,0.000000e+00
0.040513,0.023566,0.974190,9.741899e-01,0.000000e+00,1.289632e-02,0.000000e+00,1.211808e-08,0.000000e+00
0.042564,0.024758,0.971505,9.715050e-01,0.000000e+00,1.321897e-02,0.000000e+00,1.185126e-08,0.000000e+00
0.044615,0.025950,0.968686,9.686863e-01,0.000000e+00,1.355927e-02,0.000000e+00,1.156467e-08,0.000000e+00
0.046667,0.027142,0.965734,9.657339e-01,0.000000e+00,1.391748e-02,0.000000e+00,1.127154e-08,0.000000e+00
0.048718,0.028334,0.962647,9.626473e-01,0.000000e+00,1.429388e-02,0.000000e+00,1.097985e-08,0.000000e+00
0.050769,0.029525,0.959427,9.594266e-01,0.000000e+00,1.468877e-02,0.000000e+00,1.067362e-08,0.000000e+00
0.052821,0.030716,0.956071,9.560713e-01,0.000000e+00,1.510247e-02,0.000000e+00,1.041947e-08,0.000000e+00
0.054872,0.031908,0.952581,9.525814e-01,0.000000e+00,1.553533e-02,0.000000e+00,1.012985e-08,0.000000e+00
