beta,matlab_gaits,legacy_gaits,stable_gaits,q_min,q_max,s_min,s_max,v_min,v_max,max_rho_difference,max_legacy_speed_difference,max_fixed_point_residual,low_speed_trend
0,84,84,84,0.0399973333866662,0.86993106822246,0.0395206806970827,0.863529395030141,0.0114398708632709,0.249975834838692,4.94066791811854e-07,4.85428178126357e-07,9.91390783770333e-13,1
0.05,84,84,84,0.0399973333866662,0.86993106822246,0.0366657830124964,0.82266539831206,0.0106679311253545,0.238353993811014,4.91611784725343e-07,4.94057289492783e-07,9.74753091268779e-13,1
0.1,84,84,73,0.0399973333866662,0.86993106822246,0.0342118854522295,0.783837185426139,0.0100038011223934,0.227412468030569,5.20423763195055e-07,4.93249947525198e-07,9.97067046489276e-13,1
0.15,84,83,50,0.0399973333866662,0.86993106822246,0.0320784445788761,0.747182901950122,0.00942581564973931,0.21716469001519,5.34588065814745e-07,4.71876157228518e-07,9.88965573028124e-13,1
