q,alpha_p,alpha_h,s,v,T,tr,det,disc,l1_re,l1_im,l2_re,l2_im,absmax,sqrt_det
0.13,0.0650458580746109,0.06427736087507277,0.12846621770114858,0.037178158950292466,3.4554217134019214,1.4538267868735577,0.5200659659359488,0.03334846248729795,0.8182212004514264,0.0,0.6356055864221313,0.0,0.8182212004514264,0.7211559927893193
0.13040000000000002,0.06524628322778038,0.06447546403899852,0.1288616033084605,0.037292527594688214,3.4554269077437105,1.4534063758064875,0.5200529425426154,0.0321783230644872,0.8163947748338138,0.0,0.6370116009726736,0.0,0.8163947748338138,0.7211469632069564
0.13080000000000003,0.06544671100566882,0.0646735702391756,0.12925698991842383,0.03740689602732455,3.4554321166879416,1.4529846825706016,0.5200398747645115,0.031004988726746063,0.8145335088246255,0.0,0.6384511737459762,0.0,0.8145335088246255,0.721137902737411
0.13120000000000004,0.06564714141643109,0.06487167946400327,0.12965237749213568,0.037521264235762165,3.4554373402099214,1.4525617082761233,0.5200267646005559,0.02982845794782607,0.8126354399280253,0.0,0.639926268348098,0.0,0.8126354399280253,0.7211288127654836
0.13160000000000005,0.06584757446822304,0.06506979172279752,0.13004776603243795,0.03763563221951573,3.455442578296917,1.4521374513271068,0.5200136125759761,0.028648727242881034,0.8106984001915802,0.0,0.6414390511355266,0.0,0.8106984001915802,0.7211196936542339
0.13200000000000006,0.06604801016920148,0.06526790702487767,0.13044315554217709,0.037749999978102626,3.4554478309362207,1.4517119113766075,0.5200004196754879,0.02746579493077128,0.8087199933203877,0.0,0.6429919180562198,0.0,0.8087199933203877,0.7211105460853335
0.13240000000000007,0.06624844852752415,0.06546602537956016,0.13083854602419157,0.03786436751104044,3.4554530981150506,1.4512850937675736,0.5199871857041122,0.026279680575506337,0.8066975907976408,0.0,0.6445875029699324,0.0,0.8066975907976408,0.7211013699225042
0.13280000000000008,0.0664488895513498,0.06566414679615878,0.13123393748131237,0.03797873481784636,3.4554583798206204,1.450856987467164,0.5199739084376391,0.025090364331737725,0.8046281849131129,0.0,0.646228802554051,0.0,0.8046281849131129,0.7210921636224035
0.1332000000000001,0.06664933324883814,0.06586227128400636,0.13162932991640625,0.03809310189805002,3.4554636760401056,1.450427601981663,0.5199605885019792,0.02389787458236059,0.802508488037164,0.0,0.6479191139444995,0.0,0.802508488037164,0.7210829276178845
0.1336000000000001,0.06684977962814984,0.06606039885241596,0.13202472333229834,0.03820746875117207,3.4554689867605606,1.4499969346049024,0.5199472268386729,0.022702203008921895,0.8003347185513179,0.0,0.6496622160535845,0.0,0.8003347185513179,0.7210736625606796
0.13400000000000012,0.06705022869744656,0.06625852951070715,0.13242011773182452,0.03832183537673753,3.455474311969082,1.449564983047047,0.519933823675882,0.02150334537265719,0.7981025866077731,0.0,0.6514623964392738,0.0,0.7981025866077731,0.7210643686078809
0.13440000000000013,0.06725068046489094,0.06645666326820027,0.13281551311781992,0.03843620177427346,3.455479651652715,1.4491317523734892,0.5199203770565701,0.020301327510779288,0.7958072397173179,0.0,0.6533245126561709,0.0,0.7958072397173179,0.7210550444013065
0.13480000000000014,0.06745113493864659,0.06665480013422487,0.13321090949313594,0.038550567943314185,3.4554850057984337,1.448697239461727,0.5199068907449671,0.019096128644159993,0.7934429911444707,0.0,0.6552542483172563,0.0,0.7934429911444707,0.7210456925500403
0.13520000000000015,0.06765159212687812,0.06685294011809893,0.13360630686059857,0.03866493388338829,3.4554903743932215,1.4482614450056497,0.5198933610721926,0.017887768801081894,0.7910033043302938,0.0,0.6572581406753559,0.0,0.7910033043302938,0.7210363105088347
