k_hip,s_max,n,exponent,coefficient,r_squared
-0.300,0.05,42,2.01173046396045,7.04107341926493,0.999994218234653
-0.200,0.05,41,2.012741556131,8.28505246881038,0.999993280477487
-0.160,0.05,41,2.01341987382063,8.9191151207817,0.999992522033829
-0.120,0.05,41,2.01419518197392,9.6536477238228,0.999991601440586
-0.080,0.05,41,2.01508802398722,10.511716851188,0.999990470985174
-0.040,0.05,41,2.01612390850202,11.5233968690702,0.999989061455632
0.000,0.05,41,2.01733701802936,12.7285565361928,0.999987276646422
0.050,0.05,40,2.01855625542048,14.5553269078633,0.999985628037844
0.100,0.05,40,2.02077931848558,16.9449623284169,0.999981769133816
