q,alpha_h,s,v,lam_max,is_complex,dlam_dq_fd,dlam_dq_pert,c_swing,c_reset,c_reset_geom,c_reset_vel,c_reset_push,norm_BA_minus_J,absEigA1,absEigA2,cos2alpha_h,dabslam_dq
0.3,0.1488623213,0.2966262645,0.08576164251,0.7144774772,1,-1.189035771,-1.189036312,0.1738707644,-1.362907076,-1.312929688,-0.6160837701,0.5661066296,1.455983316e-10,5.64565112,1.000000018,0.9560064296,-0.05757079246
0.299,0.1483617651,0.2956361868,0.08547598868,0.7145349278,1,-1.185276607,-1.185277148,0.1731396141,-1.358416762,-1.308675809,-0.6141205701,0.5643798639,2.22975008e-10,5.647257494,0.9999999937,0.9562996225,-0.05733246305
0.298,0.1478612528,0.2946461219,0.08519033367,0.7145921426,1,-1.181520429,-1.18152096,0.1724047806,-1.353925741,-1.304420508,-0.6121563778,0.562651392,6.330004606e-11,5.648857508,0.9999999978,0.9565918314,-0.0571004032
0.297,0.1473607843,0.2936560697,0.08490467745,0.7146491291,1,-1.177760672,-1.177761207,0.171672823,-1.34943403,-1.300163805,-0.6101912031,0.5609212242,2.256230838e-10,5.650451092,1.000000011,0.9568830564,-0.05686353252
0.296,0.1468603593,0.2926660302,0.08461902001,0.7147058701,1,-1.173996183,-1.173996711,0.1709449108,-1.344941622,-1.295905697,-0.6082250455,0.5591893648,1.573841267e-10,5.652038352,0.9999999979,0.9571732974,-0.05662613187
0.295,0.1463599778,0.2916760034,0.08433336135,0.7147623818,1,-1.17023106,-1.170231587,0.1702169436,-1.34044853,-1.291646197,-0.6062579129,0.5574558234,1.682027101e-10,5.653619255,1.000000016,0.9574625545,-0.05639382736
0.294,0.1458596395,0.2906859892,0.08404770145,0.7148186582,1,-1.166463359,-1.166463879,0.1694908764,-1.335954755,-1.28738531,-0.6042898082,0.5557206061,1.623622456e-10,5.65519386,0.9999999828,0.9577508279,-0.05616040461
0.293,0.1453593444,0.2896959875,0.0837620403,0.7148747031,1,-1.162694688,-1.162695212,0.1687650984,-1.331460311,-1.283123051,-0.6023207396,0.5539837222,1.788620621e-10,5.656762083,1.000000019,0.9580381174,-0.05592600659
0.292,0.1448590922,0.2887059985,0.08347637788,0.7149305107,1,-1.158919755,-1.158920271,0.1680449169,-1.326965187,-1.278859416,-0.6003507056,0.5522451758,1.967996099e-10,5.65832407,1.000000015,0.9583244232,-0.05569199815
0.291,0.1443588829,0.2877160219,0.08319071419,0.7149860875,1,-1.1551435,-1.155144014,0.1673253882,-1.322469402,-1.274594422,-0.5983797161,0.5505049765,1.231633418e-10,5.659879729,0.9999999916,0.9586097454,-0.05546032691
0.29,0.1438587163,0.2867260578,0.08290504921,0.7150414318,1,-1.151367408,-1.15136792,0.1666050372,-1.317972957,-1.270328074,-0.5964077739,0.5487631309,1.972814731e-10,5.661429086,0.9999999929,0.9588940839,-0.05522734487
