beta,alpha_p,q,alpha_h,s_real,T,v,q_over_T,lam_max,N_half,lam1_re,lam1_im,lam2_re,lam2_im,lam3_re,lam3_im,fixed_point_residual
0,0.02,0.0399973333866662,0.0197616265480311,0.0395206806970827,3.45464395266634,0.0114398708632709,0.0115778453394005,0.986661747508011,51.6195168275881,0.986661747508011,0,0.529015239891529,0,-1.20481942616553e-11,0,6.15126526852752e-13
0,0.0220512820512821,0.044098989977715,0.0217885118952653,0.0435735759184373,3.45466180904963,0.012612978730449,0.0127650671513477,0.983733656001729,42.2648313750051,0.983733656001729,0,0.530546907105168,0,-1.15606218624049e-11,0,7.10305307154563e-13
0,0.0241025641025641,0.0482004610109486,0.0238154124237337,0.0476263224819492,3.45468138926491,0.0137860245607434,0.0139522160164254,0.980497337289983,35.1934449110274,0.980497337289983,0,0.532250768327156,0,-1.23644904367249e-11,0,8.12657614639341e-13
0,0.0261538461538462,0.0523017292283753,0.0258423295369075,0.0516789065394165,3.45470268821855,0.0149590026127734,0.0151392851855929,0.976945594792752,29.7177943347279,0.976945594792752,0,0.534134074188275,0,-1.25377186706873e-11,0,9.22212593330935e-13
0,0.0282051282051282,0.0564027773728568,0.0278692643739522,0.0557313137136762,3.45472570036157,0.0161319070014281,0.0163262679196075,0.973070122823145,25.3908151062813,0.973070122823145,0,0.536205190372639,0,-1.1445548274868e-11,0,2.07828815291071e-13
0,0.0302564102564103,0.0605035881881807,0.0298962188668471,0.0597835312120056,3.4547504197006,0.017304732310355,0.0175131574898033,0.968861337662076,21.9116170867463,0.968861337662076,0,0.538473764824974,0,-1.29791290085816e-11,0,2.32604226553316e-13
0,0.0323076923076923,0.0646041444191334,0.0319231941425347,0.0638355446315271,3.45477683978204,0.0184774726681201,0.0186999471789933,0.964308171779056,19.0716598751538,0.964308171779056,0,0.540950935553454,0,-1.41047521476811e-11,0,2.58890093371599e-13
0,0.0343589743589744,0.0687044288115725,0.0339501915963068,0.0678873401051923,3.4548049537025,0.019650122370132,0.0198866302822515,0.959397809476677,16.722701835963,0.959397809476677,0,0.543649593625441,0,-1.52485463361736e-11,0,2.8674421711779e-13
0,0.0364102564102564,0.0728044241124992,0.0359772126207544,0.0719389037598159,3.45483475410626,0.020822675722569,0.0210732001077526,0.954115360107326,14.7570143555148,0.954115360107326,0,0.54658471042908,0,-1.29770955485658e-11,0,3.15616922222547e-13
0,0.0384615384615385,0.0769041130701315,0.0380042586056602,0.0759902217158188,3.45486623318554,0.0219951270430961,0.0222596499775977,0.948443432571231,13.0947702839053,0.948443432571231,0,0.549773762410511,0,-1.58248970536715e-11,0,3.46541142842963e-13
