beta,s_common,N_half_matlab,N_half_python,difference,N_half_reported,N_half_delta1e7
0,0.039524,51.6109007143526,51.6109006077598,1.06592807469497e-07,51.61,51.6112540722921
0.05,0.039524,95.0538653100428,95.0538655115834,-2.01540643729459e-07,95.05,95.0554223750154
0.1,0.039524,123.721908730735,123.721907142714,1.58802052396823e-06,123.72,123.726380900272
0.15,0.039524,142.439510528074,142.43951082466,-2.9658633593499e-07,142.44,142.448143206426
