beta,alpha_p,legacy_alpha_rounding,rho_difference,q_over_T_difference,fixed_point_residual
0,0.02,0,-2.52491988761427e-07,-1.54660599488779e-07,6.15126526852752e-13
0,0.0220512820512821,2.82051282052276e-07,-3.43998271312707e-07,6.71513477462637e-08,7.10305307154563e-13
0,0.0241025641025641,4.35897435896448e-07,3.37289983498579e-07,2.16016425367074e-07,8.12657614639341e-13
0,0.0261538461538462,1.53846153847642e-07,-4.05207248088679e-07,2.85185592941231e-07,9.22212593330935e-13
0,0.0282051282051282,1.28205128204634e-07,1.22823144654838e-07,2.67919607541134e-07,2.07828815291071e-13
0,0.0302564102564103,4.1025641025691e-07,3.3766207607755e-07,1.57489803292304e-07,2.32604226553316e-13
0,0.0323076923076923,3.07692307695284e-07,1.71779055979648e-07,-5.28210067421431e-08,2.58890093371599e-13
0,0.0343589743589744,2.56410256360695e-08,-1.90523322673997e-07,-3.6971774854469e-07,2.8674421711779e-13
0,0.0364102564102564,2.56410256416206e-07,3.60107325514392e-07,2.0010775255222e-07,3.15616922222547e-13
0,0.0384615384615385,4.61538461539457e-07,4.32571231168133e-07,-3.50022402308831e-07,3.46541142842963e-13
0,0.0405128205128205,1.79487179487181e-07,-4.05144242265898e-07,-2.67713582378926e-08,3.78268476218695e-13
0,0.0425641025641026,1.02564102565095e-07,-3.48569326957815e-07,1.63213320615585e-07,2.6850214629461e-13
0,0.0446153846153846,3.84615384610432e-07,-3.10317379015324e-07,2.13300478821288e-07,4.68347008225212e-13
0,0.0466666666666667,3.33333333331354e-07,-2.29913503457801e-07,1.16876153439388e-07,3.032707384077e-13
0,0.0487179487179487,5.1282051272139e-08,1.06421970569315e-07,-1.326555277327e-07,3.33029963676767e-13
0,0.0507692307692308,2.30769230766259e-07,4.58846520334788e-07,4.58128414180387e-07,3.63878513707258e-13
0,0.0528205128205128,4.87179487175526e-07,2.68526166968819e-07,-1.17329353965107e-07,3.96825938858629e-13
0,0.0548717948717949,2.05128205123251e-07,-2.72852915039756e-07,1.3443434647431e-07,4.30732523418787e-13
0,0.0569230769230769,7.69230769220863e-08,2.17214173092728e-07,2.06904017370502e-07,4.6473126480184e-13
0,0.058974358974359,3.58974358974362e-07,-1.53974383243494e-08,9.35863012641036e-08,5.02958666039029e-13
0,0.061025641025641,3.58974358974362e-07,2.38814747977045e-08,-2.11989202462959e-07,5.41610008001062e-13
0,0.0630769230769231,7.69230769220863e-08,-4.80312528972071e-07,2.83730873615329e-07,5.82050320802537e-13
0,0.0651282051282051,2.05128205130189e-07,-1.45086695213514e-07,-4.25675522650049e-07,6.22958467737254e-13
0,0.0671794871794872,4.87179487182465e-07,-7.64612706483092e-10,-3.46605052346793e-07,6.65474669325043e-13
0,0.0692307692307692,2.30769230766259e-07,-3.22281658804435e-07,-4.85428178126357e-07,7.09998116156527e-13
0,0.0712820512820513,5.12820512860168e-08,3.41988357632772e-07,1.51511643960156e-07,7.57258593262448e-13
0,0.0733333333333333,3.33333333338293e-07,2.15606012377023e-07,-4.42101233531778e-07,8.01050571685824e-13
0,0.0753846153846154,3.84615384610432e-07,-4.18536560964355e-09,-2.72553841371148e-07,8.51407458186433e-13
0,0.0774358974358974,1.02564102558156e-07,-3.296595628699e-07,-3.4610379452682e-07,9.01281785446354e-13
0,0.0794871794871795,1.79487179480242e-07,2.24629843836865e-07,3.31021505782514e-07,9.53003283974263e-13
0,0.0815384615384615,4.61538461532518e-07,-3.56026064629589e-07,-2.47374341053042e-07,2.01371439593278e-13
0,0.0835897435897436,2.56410256402329e-07,-8.63674431972328e-08,-8.74558880939458e-08,2.12325012046835e-13
0,0.0856410256410256,2.56410256499473e-08,1.84897663846328e-08,-1.95355123563945e-07,2.2128427254702e-13
