direction,amp,lam_linear,N_linear,lam_fitted,N_fitted,n_half_observed,prefactor,steps
r1,0.001,0.9991773429833772,842.2246650262285,0.9991699756185638,834.7459324265898,841,1.0139526235859446,5000
r1,0.003,0.9991773429833772,842.2246650262285,0.9991746554558872,839.4810428163219,840,1.0017795618130558,5000
r1,0.01,0.9991773429833772,842.2246650262285,0.9991756850577673,840.5300207574819,834,0.9910205331787055,5000
theta,0.001,0.9991773429833772,842.2246650262285,0.999179028664818,843.9546972438347,855,1.010186283806763,5000
theta,0.003,0.9991773429833772,842.2246650262285,0.9991798882227282,844.839608224953,880,1.0366930005614583,5000
theta,0.01,0.9991773429833772,842.2246650262285,0.9991856864370435,850.8576476991756,976,1.1360544610093861,5000
