k_hip,n_stable,q_min,s_min_real,v_min,Nhalf_at_qmin,s_common,Nhalf_at_common_s,Nhalf_max_lowspeed,v_eigtype_transition
-0.300,791,0.010,0.009793825298,0.00305258735,1078.25,0.01002942844,1033.18,1078.25,0.04686043408
-0.200,791,0.010,0.009856173928,0.002916986869,908.65,0.01002942844,880.89,908.65,0.04214717337
-0.160,791,0.010,0.00988071627,0.002860190215,842.22,0.01002942844,820.20,842.22,0.04046616672
-0.120,791,0.010,0.00990494711,0.00280183338,776.83,0.01002942844,759.86,776.83,0.03823775876
-0.080,791,0.010,0.009928801837,0.002741846377,712.62,0.01002942844,700.07,712.62,0.03632060094
-0.040,738,0.010,0.009952209374,0.002680156725,649.78,0.01002942844,641.02,649.78,0.03442980018
0.000,683,0.010,0.0099750919,0.00261668977,588.51,0.01002942844,582.94,588.51,0.0323050594
0.050,620,0.010,0.01000282703,0.002534740301,514.45,0.01002942844,512.07,514.45,0.02977140051
0.100,562,0.010,0.01002942844,0.002449743172,443.63,0.01002942844,443.63,443.63,0.02705783123
