k_hip,q,alpha_h,s,v,lam_max,N_half,lam1_im
-0.300,0.481,0.2382019641,0.4719114851,0.1470372945,0.7199739047,2.1098,0.5655768984
-0.300,0.482,0.238708455,0.4728958036,0.1473443703,0.7198737147,2.1089,0.5664521100
-0.300,0.483,0.2392150175,0.47388014,0.1476514592,0.7197732211,2.1080,0.5673240799
-0.300,0.484,0.239721652,0.4748644944,0.1479585612,0.7196724426,2.1071,0.5681928122
-0.300,0.485,0.2402283584,0.4758488669,0.1482656764,0.7195713693,2.1062,0.5690583123
-0.300,0.486,0.2407351371,0.4768332574,0.148572805,0.7194700117,2.1053,0.5699205726
-0.300,0.487,0.2412419881,0.4778176659,0.148879947,0.7193683614,2.1044,0.5707795826
-0.300,0.488,0.2417489116,0.4788020925,0.1491871024,0.7192664216,2.1035,0.5716353518
-0.300,0.489,0.2422559078,0.4797865372,0.1494942713,0.7191641937,2.1026,0.5724878655
-0.300,0.490,0.2427629768,0.480771,0.1498014539,0.7190616724,2.1017,0.5733371322
-0.300,0.491,0.2432701189,0.4817554809,0.1501086501,0.7189588594,2.1008,0.5741831380
-0.300,0.492,0.2437773341,0.4827399799,0.1504158601,0.7188557603,2.0998,0.5750258889
-0.300,0.493,0.2442846227,0.4837244971,0.150723084,0.7187523623,2.0989,0.5758653727
-0.300,0.494,0.2447919848,0.4847090324,0.1510303217,0.7186486729,2.0980,0.5767015922
-0.300,0.495,0.2452994205,0.4856935859,0.1513375735,0.7185446911,2.0971,0.5775345437
-0.300,0.496,0.2458069302,0.4866781576,0.1516448394,0.7184404121,2.0962,0.5783642201
-0.300,0.497,0.2463145138,0.4876627475,0.1519521194,0.7183358456,2.0953,0.5791906233
-0.300,0.498,0.2468221716,0.4886473556,0.1522594136,0.7182309480,2.0943,0.5800137292
-0.300,0.499,0.2473299037,0.4896319819,0.1525667222,0.7181258296,2.0934,0.5808336006
-0.300,0.500,0.2478377104,0.4906166265,0.1528740452,0.7180203570,2.0925,0.5816501527
-0.300,0.501,0.2483455917,0.4916012893,0.1531813827,0.7179146204,2.0915,0.5824634320
-0.300,0.502,0.2488535479,0.4925859704,0.1534887347,0.7178085610,2.0906,0.5832734010
-0.300,0.503,0.249361579,0.4935706698,0.1537961013,0.7177022236,2.0897,0.5840800899
-0.300,0.504,0.2498696854,0.4945553875,0.1541034827,0.7175955859,2.0887,0.5848834820
-0.300,0.505,0.2503778671,0.4955401234,0.1544108789,0.7174886434,2.0878,0.5856835655
-0.300,0.506,0.2508861243,0.4965248778,0.15471829,0.7173814099,2.0869,0.5864803506
-0.300,0.507,0.2513944572,0.4975096504,0.1550257161,0.7172738722,2.0859,0.5872738269
-0.300,0.508,0.251902866,0.4984944414,0.1553331572,0.7171660401,2.0850,0.5880639946
-0.300,0.509,0.2524113507,0.4994792508,0.1556406134,0.7170579073,2.0840,0.5888508471
-0.300,0.510,0.2529199117,0.5004640785,0.1559480849,0.7169494721,2.0831,0.5896343805
-0.300,0.511,0.253428549,0.5014489247,0.1562555717,0.7168407351,2.0821,0.5904145984
-0.300,0.512,0.2539372628,0.5024337892,0.1565630739,0.7167317022,2.0812,0.5911914914
-0.300,0.513,0.2544460533,0.5034186722,0.1568705915,0.7166223678,2.0802,0.5919650605
-0.300,0.514,0.2549549207,0.5044035736,0.1571781247,0.7165127304,2.0793,0.5927352961
-0.300,0.515,0.2554638651,0.5053884934,0.1574856736,0.7164027893,2.0783,0.5935022013
-0.300,0.516,0.2559728867,0.5063734317,0.1577932382,0.7162925745,2.0774,0.5942657871
-0.300,0.517,0.2564819856,0.5073583884,0.1581008186,0.7161819514,2.0764,0.5950259647
-0.300,0.518,0.2569911621,0.5083433636,0.1584084149,0.7160711556,2.0754,0.5957828873
-0.300,0.519,0.2575004163,0.5093283573,0.1587160272,0.7159600398,2.0745,0.5965364580
-0.300,0.520,0.2580097483,0.5103133695,0.1590236556,0.7158485391,2.0735,0.5972866182
-0.300,0.521,0.2585191584,0.5112984002,0.1593313001,0.7157367731,2.0725,0.5980334589
-0.300,0.522,0.2590286467,0.5122834494,0.1596389609,0.7156246964,2.0716,0.5987769354
-0.300,0.523,0.2595382134,0.5132685172,0.1599466381,0.7155123467,2.0706,0.5995170826
-0.300,0.524,0.2600478587,0.5142536035,0.1602543316,0.7153996704,2.0696,0.6002538512
-0.300,0.525,0.2605575826,0.5152387083,0.1605620418,0.7152866808,2.0687,0.6009872495
-0.300,0.526,0.2610673854,0.5162238317,0.1608697685,0.7151733925,2.0677,0.6017172886
-0.300,0.527,0.2615772673,0.5172089737,0.1611775119,0.7150597944,2.0667,0.6024439543
-0.300,0.528,0.2620872285,0.5181941342,0.1614852721,0.7149458873,2.0657,0.6031672462
-0.300,0.529,0.262597269,0.5191793134,0.1617930492,0.7148316670,2.0647,0.6038871560
-0.300,0.530,0.2631073891,0.5201645112,0.1621008432,0.7147171411,2.0637,0.6046036887
-0.300,0.531,0.2636175889,0.5211497275,0.1624086544,0.7146023083,2.0628,0.6053168405
