SL_target,SF_target,converged,status,P,k_hip,T,SL_actual,SF_actual,SL_err,SF_err,lam_max,recovery_margin,N_half,eig_type,n_seed_tried
0.905000,0.240000,1,converged,0.24371,0.096522,4.16667,0.905,0.24,-2.29e-08,-2.16e-08,5.34255,-4.34255,-0.413645,real,4
1.000000,0.240000,1,converged,0.308571,0.096591,4.16667,1,0.24,-2.89e-08,-2.31e-08,6.53256,-5.53256,-0.369324,real,4
0.050000,0.270000,1,converged,0.000656866,-0.0440946,3.7038,0.0500016,0.269993,1.61e-06,-7.02e-06,0.972621,0.0273787,24.9689,real,1
0.145000,0.270000,1,converged,0.00554,-0.0448337,3.70379,0.144999,0.269994,-1.04e-06,-5.94e-06,0.70306,0.29694,1.96742,complex,1
0.240000,0.270000,1,converged,0.0152659,-0.0462148,3.70377,0.239998,0.269995,-2.24e-06,-4.66e-06,0.700006,0.299994,1.9434,complex,1
0.335000,0.270000,1,converged,0.0300057,-0.0480946,3.70375,0.334997,0.269997,-2.99e-06,-3.29e-06,0.695017,0.304983,1.9052,complex,1
0.430000,0.270000,1,converged,0.0500274,-0.0502608,3.70373,0.429997,0.269998,-3.45e-06,-1.94e-06,0.687622,0.312378,1.85078,complex,1
0.525000,0.270000,1,converged,0.075711,-0.0524329,3.70372,0.524996,0.269999,-3.58e-06,-9.32e-07,0.677246,0.322754,1.77857,complex,1
0.620000,0.270000,1,converged,0.107573,-0.0542676,3.70371,0.619997,0.27,-3.31e-06,-3.35e-07,0.663246,0.336754,1.6881,complex,1
0.715000,0.270000,1,converged,0.146301,-0.0553608,3.70371,0.714997,0.27,-2.62e-06,-1.08e-07,0.644947,0.355053,1.58041,complex,1
0.810000,0.270000,1,converged,0.192807,-0.0552503,3.70371,0.809998,0.27,-1.57e-06,-1.29e-07,1.37236,-0.372358,-2.18983,real,1
0.905000,0.270000,1,converged,0.248302,-0.0534177,3.70371,0.904999,0.269999,-5.73e-07,-6.31e-07,2.04906,-1.04906,-0.966218,real,1
1.000000,0.270000,1,converged,0.314415,-0.0492881,3.70375,0.999999,0.269997,-8.35e-07,-3.08e-06,2.56786,-1.56786,-0.734988,real,1
0.050000,0.300000,1,converged,0.000671502,-0.225359,3.33333,0.0499998,0.3,-1.98e-07,-1.42e-07,0.980799,0.0192014,35.751,real,4
0.145000,0.300000,1,converged,0.00566273,-0.225707,3.33334,0.144984,0.299999,-1.6e-05,-9.68e-07,0.729992,0.270008,2.20241,complex,1
0.240000,0.300000,1,converged,0.0156041,-0.22633,3.33334,0.239972,0.299999,-2.85e-05,-7.54e-07,0.726738,0.273262,2.17158,complex,1
0.335000,0.300000,1,converged,0.0306713,-0.227069,3.33334,0.33496,0.299999,-3.99e-05,-5.93e-07,0.721566,0.278434,2.12406,complex,1
0.430000,0.300000,1,converged,0.0511389,-0.227701,3.33334,0.429949,0.3,-5.07e-05,-4.17e-07,0.714133,0.285867,2.05873,complex,1
0.525000,0.300000,1,converged,0.0773967,-0.227933,3.33334,0.52494,0.3,-6.04e-05,-2.86e-07,0.704014,0.295986,1.97502,complex,1
0.620000,0.300000,1,converged,0.109975,-0.2274,3.33334,0.619931,0.3,-6.86e-05,-3.8e-07,0.690728,0.309272,1.87333,complex,1
0.715000,0.300000,1,converged,0.149579,-0.225672,3.33335,0.714925,0.299999,-7.45e-05,-1.17e-06,0.673742,0.326258,1.75521,complex,1
0.810000,0.300000,1,converged,0.197144,-0.22225,3.33338,0.809923,0.299996,-7.75e-05,-3.95e-06,0.652445,0.347555,1.62319,complex,1
0.905000,0.300000,1,converged,0.253914,-0.21657,3.33346,0.904923,0.299988,-7.71e-05,-1.16e-05,0.626041,0.373959,1.48001,complex,1
1.000000,0.300000,1,converged,0.321559,-0.207995,3.33367,0.999927,0.29997,-7.34e-05,-3.01e-05,0.593254,0.406746,1.32753,complex,1
0.050000,0.330000,1,converged,0.000687994,-0.421788,3.03033,0.049974,0.329997,-2.6e-05,-2.7e-06,0.985533,0.0144665,47.5664,real,4
0.145000,0.330000,1,converged,0.00580917,-0.421757,3.0303,0.145,0.33,-8.37e-08,-7.88e-08,0.843764,0.156236,4.08016,real,2
0.240000,0.330000,1,converged,0.0160082,-0.421579,3.0303,0.24,0.33,-5.77e-09,1.41e-09,0.751247,0.248753,2.42342,complex,1
0.335000,0.330000,1,converged,0.0314667,-0.421112,3.0303,0.335,0.33,-2.15e-08,4e-10,0.746248,0.253752,2.36813,complex,1
0.430000,0.330000,1,converged,0.0524671,-0.420119,3.0303,0.43,0.33,-3.34e-08,2.97e-10,0.739168,0.260832,2.29344,complex,1
0.525000,0.330000,1,converged,0.0794107,-0.418287,3.0303,0.525,0.33,-4.68e-08,8.29e-11,0.729671,0.270329,2.19934,complex,1
0.620000,0.330000,1,converged,0.112843,-0.415231,3.0303,0.62,0.33,-6.02e-08,-1.41e-10,0.717362,0.282638,2.0867,complex,1
0.715000,0.330000,1,converged,0.15349,-0.410495,3.0303,0.715,0.33,-7.44e-08,-1.84e-10,0.701769,0.298231,1.95721,complex,1
0.810000,0.330000,1,converged,0.202314,-0.403557,3.0303,0.81,0.33,-8.34e-08,3.89e-10,0.682288,0.317712,1.81308,complex,1
0.905000,0.330000,1,converged,0.260596,-0.393829,3.0303,0.905,0.33,-1e-07,1.61e-09,0.658034,0.341966,1.65627,complex,1
1.000000,0.330000,1,converged,0.330057,-0.380663,3.0303,1,0.33,-1.18e-07,4.27e-09,0.627467,0.372533,1.48724,complex,1
0.050000,0.360000,0,max_iter,0.000708812,-0.6,2.81426,0.0501351,0.355333,0.000135,-0.00467,0.988027,0.0119727,57.5467,real,5
0.145000,0.360000,0,max_iter,0.00597331,-0.6,2.81381,0.145321,0.35539,0.000321,-0.00461,0.876925,0.123075,5.27776,real,5
0.240000,0.360000,0,max_iter,0.0164604,-0.6,2.81283,0.24051,0.355514,0.00051,-0.00449,0.770318,0.229682,2.65623,complex,5
0.335000,0.360000,0,max_iter,0.0323559,-0.6,2.81111,0.33567,0.355732,0.00067,-0.00427,0.765725,0.234275,2.59672,complex,5
0.430000,0.360000,0,max_iter,0.0539517,-0.6,2.80836,0.430781,0.35608,0.000781,-0.00392,0.759307,0.240693,2.51734,complex,5
0.525000,0.360000,0,max_iter,0.0816619,-0.6,2.80418,0.525812,0.356611,0.000812,-0.00339,0.750831,0.249169,2.41874,complex,5
0.620000,0.360000,0,max_iter,0.116049,-0.6,2.79805,0.620724,0.357391,0.000724,-0.00261,0.740027,0.259973,2.30229,complex,5
0.715000,0.360000,1,converged,0.157867,-0.384354,2.77779,0.715,0.359999,-3.17e-07,-1.03e-06,2.78468,-1.78468,-0.676815,real,1
0.810000,0.360000,1,converged,0.208102,-0.599656,2.77778,0.809999,0.36,-5.32e-07,1.75e-09,0.709952,0.290048,2.02344,complex,1
0.905000,0.360000,1,converged,0.268078,-0.585545,2.77778,0.904999,0.36,-6.3e-07,9.51e-10,0.687361,0.312639,1.84891,complex,1
1.000000,0.360000,1,converged,0.339573,-0.567345,2.77778,0.999999,0.36,-7.37e-07,5.61e-09,0.658327,0.341673,1.65804,complex,1
0.050000,0.390000,0,max_iter,0.000724697,-0.6,2.81426,0.0506935,0.355334,0.000694,-0.0347,0.987754,0.0122456,56.2564,real,5
0.145000,0.390000,0,max_iter,0.0061317,-0.6,2.8138,0.147228,0.355392,0.00223,-0.0346,0.872279,0.127721,5.07257,real,5
0.240000,0.390000,0,max_iter,0.0168477,-0.6,2.81279,0.243297,0.355519,0.0033,-0.0345,0.770208,0.229792,2.65477,complex,5
0.335000,0.390000,0,max_iter,0.0331147,-0.6,2.81102,0.33951,0.355743,0.00451,-0.0343,0.765503,0.234497,2.5939,complex,5
0.430000,0.390000,0,max_iter,0.05522,-0.6,2.80818,0.435657,0.356102,0.00566,-0.0339,0.758925,0.241075,2.51274,complex,5
0.525000,0.390000,0,max_iter,0.0835806,-0.6,2.80386,0.531663,0.356651,0.00666,-0.0333,0.750236,0.249764,2.41206,complex,5
0.620000,0.390000,0,max_iter,0.118783,-0.6,2.79752,0.627507,0.357459,0.00751,-0.0325,0.739157,0.260843,2.29333,complex,5
0.715000,0.390000,0,inner_fail,0.145545,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,complex,5
0.810000,0.390000,0,inner_fail,0.19209,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,complex,5
0.905000,0.390000,0,max_iter,0.276018,-0.6,2.75902,0.915471,0.362447,0.0105,-0.0276,0.686794,0.313206,1.84485,complex,5
1.000000,0.390000,0,max_iter,0.349767,-0.6,2.73693,1.01006,0.365373,0.0101,-0.0246,0.65993,0.34007,1.66774,complex,5
0.050000,0.420000,0,max_iter,0.000737031,-0.6,2.81426,0.0511229,0.355334,0.00112,-0.0647,0.987542,0.0124577,55.2929,real,5
0.145000,0.420000,0,max_iter,0.00623508,-0.6,2.81379,0.14846,0.355393,0.00346,-0.0646,0.86915,0.13085,4.94258,real,5
0.240000,0.420000,0,max_iter,0.0171766,-0.6,2.81275,0.245637,0.355523,0.00564,-0.0645,0.770114,0.229886,2.65353,complex,5
0.335000,0.420000,0,max_iter,0.0337613,-0.6,2.81094,0.342745,0.355752,0.00774,-0.0642,0.765313,0.234687,2.59149,complex,5
0.430000,0.420000,0,max_iter,0.0562887,-0.6,2.80803,0.439718,0.356121,0.00972,-0.0639,0.758602,0.241398,2.50888,complex,5
0.525000,0.420000,0,max_iter,0.0851967,-0.6,2.80359,0.536531,0.356685,0.0115,-0.0633,0.749734,0.250266,2.40645,complex,5
0.620000,0.420000,0,max_iter,0.121069,-0.6,2.79708,0.633107,0.357516,0.0131,-0.0625,0.738428,0.261572,2.28586,complex,5
0.715000,0.420000,0,inner_fail,0.145545,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,complex,5
0.810000,0.420000,0,inner_fail,0.19209,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,complex,5
0.905000,0.420000,0,max_iter,0.279556,-0.6,2.75801,0.920425,0.36258,0.0154,-0.0574,0.685553,0.314447,1.83601,complex,5
1.000000,0.420000,0,max_iter,0.353834,-0.6,2.73566,1.01481,0.365542,0.0148,-0.0545,0.658377,0.341623,1.65834,complex,5
0.050000,0.450000,0,max_iter,0.000759931,-0.6,2.81425,0.0519107,0.355334,0.00191,-0.0947,0.987148,0.0128517,53.5868,real,5
0.145000,0.450000,0,max_iter,0.00640579,-0.6,2.81377,0.150471,0.355395,0.00547,-0.0946,0.863793,0.136207,4.73391,real,5
0.240000,0.450000,0,max_iter,0.0176373,-0.6,2.81271,0.248876,0.355529,0.00888,-0.0945,0.769982,0.230018,2.6518,complex,5
0.335000,0.450000,0,max_iter,0.034663,-0.6,2.81084,0.347202,0.355766,0.0122,-0.0942,0.765049,0.234951,2.58815,complex,5
0.430000,0.450000,0,max_iter,0.0577958,-0.6,2.80782,0.445374,0.356148,0.0154,-0.0939,0.758146,0.241854,2.50343,complex,5
0.525000,0.450000,0,max_iter,0.0874796,-0.6,2.80321,0.543319,0.356734,0.0183,-0.0933,0.749023,0.250977,2.39856,complex,5
0.620000,0.450000,0,max_iter,0.124319,-0.6,2.79644,0.640959,0.357598,0.021,-0.0924,0.73739,0.26261,2.27531,complex,5
0.715000,0.450000,0,inner_fail,0.145545,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,real,5
0.810000,0.450000,0,inner_fail,0.19209,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,real,5
0.905000,0.450000,0,max_iter,0.286425,-0.6,2.75602,0.929911,0.362841,0.0249,-0.0872,0.68313,0.31687,1.81895,complex,5
1.000000,0.450000,0,max_iter,0.362509,-0.6,2.73294,1.02478,0.365907,0.0248,-0.0841,0.655034,0.344966,1.63838,complex,5
