direction,amp,n_evaluable,lam_linear,N_linear,lam_hat,N_hat,n_half_observed,prefactor,ratio_mean,ratio_sd,one_step_residual,modal_floor,rtol,atol,delta
r1,0.001,5000,0.9991773429833772,842.2246650262285,0.9991725673031604,837.3616093766584,841,1.004410468692408,0.9991713301442021,5.939628604348589e-06,2.305199100085517e-13,3.3251013126083162e-09,1e-12,1e-14,1e-07
r1,0.003,5000,0.9991773429833772,842.2246650262285,0.9991751415433514,839.9759516330647,840,0.9999756778963919,0.9991745776403614,1.5995731347214193e-06,2.305199100085517e-13,3.3251013126083162e-09,1e-12,1e-14,1e-07
r1,0.01,5000,0.9991773429833772,842.2246650262285,0.9991745704178615,839.3945214556708,834,0.9949517793600535,0.9991738571675308,2.7757581272016138e-06,2.305199100085517e-13,3.3251013126083162e-09,1e-12,1e-14,1e-07
theta,0.001,5000,0.9991773429833772,842.2246650262285,0.9991797203170507,844.6666043369897,855,1.0077206625095982,0.9991803131091234,1.9308022853635147e-06,2.305199100085517e-13,3.3251013126083162e-09,1e-12,1e-14,1e-07
theta,0.003,5000,0.9991773429833772,842.2246650262285,0.9991829665550356,848.0240117968775,880,1.025366210845568,0.9991843424462203,6.904466681055301e-06,2.305199100085517e-13,3.3251013126083162e-09,1e-12,1e-14,1e-07
theta,0.01,5000,0.9991773429833772,842.2246650262285,0.9991969751127829,862.8236149442164,976,1.0911314753710817,0.9992013880468025,2.4261048535002938e-05,2.305199100085517e-13,3.3251013126083162e-09,1e-12,1e-14,1e-07
