c,q,alpha_h,s_real,T,lam_max,margin,N_half
0.8,0.01,0.004333006195532402,0.008665985273775928,3.4545649405988144,0.9993673012446782,0.0006326987553217922,1095.1940001815315
0.8,0.012,0.00519961825261649,0.010399189646284682,3.4545666998272733,0.999088660223008,0.0009113397769919818,760.2337830051815
0.8,0.014,0.0060662376598835145,0.01213240090892675,3.4545687787383548,0.9987591424005339,0.0012408575994661275,558.2566794057063
0.8,0.016,0.0069328654714595865,0.013865619867996223,3.4545711772434906,0.9983786412762616,0.0016213587237383642,427.16340211260007
0.8,0.018,0.007799499378127979,0.015598840603192879,3.4545738952322758,0.9979470360898178,0.0020529639101821706,337.2857313048717
0.8,0.02,0.008666147558170795,0.017332078168490413,3.454576932607413,0.9974641805747445,0.002535819425255492,272.99576370374234
0.8,0.022,0.009532807521248963,0.019065326281027584,3.454580289231227,0.9969299177865791,0.003070082213420866,225.42804321306465
0.8,0.024,0.010399480442533407,0.020798585988619916,3.454583964961808,0.9963440704670707,0.0036559295329292585,189.24854876153222
0.8,0.026,0.011266167498023517,0.022531858340556064,3.4545879596425597,0.9957064425608604,0.004293557439139617,161.09207565726845
0.8,0.028,0.012132869864491134,0.024265144387468983,3.454592273104269,0.9950168194161693,0.0049831805838307375,138.75048118357276
0.8,0.03,0.012999588719111865,0.02599844518058188,3.4545969051636356,0.9942749641871058,0.005725035812894186,120.72608072249953
0.8,0.032,0.013866325239419261,0.027731761771599805,3.4546018556236575,0.9934806226000934,0.006519377399906601,105.9741185521925
0.8,0.034,0.014733080603347036,0.029465095212777324,3.454607124274392,0.9926335199782695,0.007366480021730459,93.74776080622317
0.8,0.036,0.015599855988964687,0.03119844655637304,3.454612710891467,0.9917333549705021,0.008266645029497921,83.50161565226513
0.8,0.038,0.01646665257468309,0.03293181685504399,3.454618615237684,0.9907798092535236,0.009220190746476398,74.82998906088673
0.8,0.04,0.017333471539023544,0.034665207161367007,3.454624837061439,0.9897725384119234,0.010227461588076636,67.42597207054503
0.8,0.042,0.018200314060857304,0.03639861852830095,3.4546313760980727,0.9887111703397721,0.011288829660227928,61.05392570724277
0.8,0.044,0.01906718131923067,0.03813205200882015,3.45463823206928,0.9875953141750894,0.01240468582491061,55.53055595084401
0.8,0.046,0.019934074493377033,0.039865508655921714,3.4546454046829234,0.9864245502729889,0.01357544972701108,50.711511146715246
0.8,0.048,0.020800994293097504,0.041598988583573145,3.4546528936294125,0.9851984285931585,0.014801571406841463,46.481861852892166
0.8,0.05,0.021667942842249537,0.04333249473287501,3.45466069859698,0.9839164661926526,0.016083533807347394,42.74918667723956
0.8,0.052,0.022534920845991117,0.04506602720770715,3.4546688192489587,0.9825781593246217,0.01742184067537833,39.438516114948435
0.8,0.054,0.023401929484552494,0.04679958706148656,3.4546772552386895,0.9811829657522303,0.018817034247769704,36.48848363358799
0.8,0.056,0.024268969938451786,0.048533175347770435,3.454686006205756,0.9797303057014752,0.020269694298524765,33.84847614569278
0.8,0.058,0.025136043388441363,0.050266793120132096,3.454695071776155,0.9782195672838128,0.021780432716187237,31.476461577033906
0.8,0.06,0.026003151073026226,0.05200044154714202,3.454704451562473,0.9766501018406321,0.023349898159367943,29.33729524756057
0.8,0.08,0.03467636708070984,0.06933883612614998,3.4548154361948598,0.9575490325752517,0.0424509674247483,15.979104231589178
0.8,0.1,0.04335430228083601,0.08668144426344607,3.4549573139584093,0.9314397046656099,0.06856029533439012,9.759362103800092
0.8,0.12,0.05203814349860428,0.10402932080777914,3.455129469673809,0.8962273996590788,0.10377260034092117,6.326580835721684
0.8,0.13,0.056382651107982365,0.11270556483318013,3.455226671392712,0.8738234081924862,0.12617659180751384,5.139106851969704
1.0,0.01,0.004844444956927778,0.009688852016377253,3.45456594015838,0.9992090056433286,0.0007909943566714039,875.9518962524788
1.0,0.012,0.005813344336668225,0.011626623186176683,3.454568139052336,0.9988605633372959,0.0011394366627041075,607.9778100385099
1.0,0.014,0.006782246547265182,0.013564389102881134,3.454570737448503,0.9984484378201818,0.0015515621798182222,446.3948141634872
1.0,0.016,0.007751161876401667,0.015502168522015655,3.454573735223079,0.9979724574303435,0.0020275425696565375,341.5189700662283
1.0,0.018,0.008720086515007887,0.017439952005994915,3.454577132202234,0.9974324312865613,0.0025675687134386616,269.61574354260904
1.0,0.02,0.00968902161630288,0.019377740041483037,3.454580928199286,0.9968281372727147,0.003171862727285313,218.1832488210821
1.0,0.022,0.010657968336703877,0.021315533121359725,3.4545851230049593,0.9961593257573236,0.003840674242676423,180.1285938111449
1.0,0.024,0.01162692783437186,0.023253331741791273,3.4545897163886954,0.9954257190297826,0.0045742809702173926,151.18455746185805
1.0,0.026,0.012595901268535522,0.02519113640085837,3.4545947080972033,0.9946270068505594,0.005372993149440619,128.6588967768153
1.0,0.028,0.013564889799146076,0.02712894759784562,3.45460009785575,0.993762847855777,0.006237152144223046,110.7850631607943
1.0,0.03,0.014533894586541089,0.0290667658325491,3.454605885367165,0.9928328723158879,0.007167127684112096,96.36500088038494
1.0,0.032,0.015502916791462203,0.03100459160529168,3.454612070312397,0.9918366733638637,0.008163326636136281,84.56284463964006
1.0,0.034,0.016471957574959797,0.0329424254167122,3.454618652350838,0.9907738083043256,0.009226191695674402,74.78109161903329
1.0,0.036,0.017441018098198965,0.034880267767357344,3.4546256311187182,0.9896438013891506,0.010356198610849354,66.583482433485
1.0,0.038,0.018410099522681068,0.03681811915810456,3.4546330062314157,0.9884461404461933,0.011553859553806722,59.64545086504758
1.0,0.04,0.01937920245805667,0.038755978985975104,3.4546407772774157,0.9871802664314654,0.012819733568534608,53.72144760024161
1.0,0.042,0.02034832917769476,0.040693849974441254,3.4546489438355343,0.9858455802650927,0.014154419734907275,48.62297361599629
1.0,0.044,0.021317480283176534,0.04263173150358401,3.4546575054504682,0.9844414475849569,0.015558552415043114,44.20339929825555
1.0,0.046,0.022286656936741187,0.04456962407418798,3.4546664616488347,0.9829671742575113,0.017032825742488655,40.34721902758702
1.0,0.048,0.023255860300748953,0.04650752818683738,3.4546758119351435,0.9814220241462059,0.01857797585379406,36.962499393957884
1.0,0.05,0.02422509153773429,0.048445444342002146,3.454685555791806,0.9798052061989675,0.020194793801032507,33.975311013699404
1.0,0.052,0.025194351810391827,0.05038337303998966,3.4546956926790813,0.9781158763010547,0.021884123698945324,31.325666063141423
1.0,0.054,0.02616364228156727,0.052321314780906375,3.454706222035195,0.976353123905267,0.023646876094733038,28.96446482673667
1.0,0.056,0.0271329641143069,0.054259270064736576,3.454717143276283,0.9745159811590467,0.025484018840953304,26.85122382897142
1.0,0.058,0.028102318471812632,0.05619723939123233,3.4547284557963107,0.9726034076323817,0.027396592367618267,24.952310739957014
1.0,0.06,0.0290717065817361,0.058135223388427075,3.454740158967158,0.9706142900552424,0.029385709944757643,23.239603371283465
1.0,0.08,0.03876769593575669,0.07751597156496157,3.45487852239066,0.9462022357956578,0.053797764204342235,12.53454441037937
1.0,0.1,0.048468335391584336,0.09689872163370186,3.455055094901501,0.9120188748807216,0.08798112511927836,7.526469884114262
1.0,0.12,0.058174792618142256,0.11628396923097885,3.455268880664748,0.863280213922651,0.13671978607734903,4.714775593915204
1.0,0.13,0.06303056856425238,0.12597768332220266,3.4553893558458464,0.8290178051778838,0.17098219482211618,3.6965159319574643
1.04,0.01,0.004940383212377832,0.009880726230857562,3.4545661400639567,0.9991773403987387,0.0008226596012612664,842.2220178288853
1.04,0.012,0.005928470100831858,0.01185687074628498,3.454568426884576,0.9988149310882877,0.001185068911712328,584.553673594207
1.04,0.014,0.006916559685664761,0.01383300907829305,3.454571129167648,0.9983862724504526,0.0016137275495473613,429.1850596852392
1.04,0.016,0.007904662426911258,0.01580916021684971,3.454574246779164,0.997891178815872,0.002108821184128029,328.3427096118998
1.04,0.018,0.008892774408307325,0.017785314399749466,3.4545777795301427,0.9973294432314271,0.0026705567685728626,259.2048338962539
1.04,0.02,0.009880896774207984,0.01976147198568236,3.4545817272167665,0.9967008272483993,0.003299172751600743,209.75050315982583
1.04,0.022,0.010869030672196859,0.021737633339610082,3.454586089612161,0.9960050584995946,0.003994941500405358,173.15941061082953
1.04,0.024,0.011857177251629925,0.023713798829832877,3.454590866464968,0.9952418360882831,0.004758163911716906,145.32849825573447
1.04,0.026,0.012845337663010306,0.02568996882671847,3.454596057500325,0.9944108243339679,0.00558917566603212,123.66909750111289
1.04,0.028,0.01383351305736112,0.027666143701427164,3.4546016624188707,0.9935116537375236,0.006488346262476408,106.48261105642331
1.04,0.03,0.014821704586354154,0.029642323826148526,3.4546076808977886,0.9925439208334401,0.007456079166559881,92.61702589188113
1.04,0.032,0.015809913401881127,0.031618509573223284,3.454614112590167,0.9915071865942127,0.008492813405787336,81.26866548120388
1.04,0.034,0.016798140656171672,0.03359470131535861,3.4546209571246425,0.9904009710923507,0.009599028907649299,71.86300502796773
1.04,0.036,0.01778638750162459,0.03557089942527005,3.4546282141068914,0.9892247523941518,0.010775247605848248,63.980527093665245
1.04,0.038,0.018774654519270396,0.03754710313278735,3.4546358831134585,0.9879779767440338,0.012022023255966241,57.309177601500885
1.04,0.04,0.01976294401382043,0.03952331511414451,3.4546439637096324,0.9866600349246011,0.013339965075398919,51.612845226154086
1.04,0.042,0.0207512565570053,0.04149953457979059,3.45465245542476,0.9852702782018824,0.014729721798117601,46.71029309856908
1.04,0.044,0.02173959330203675,0.04347576190254032,3.4546613577679164,0.9838080050434015,0.01619199495659851,42.46049955837972
1.04,0.046,0.022727955402279183,0.04545199745508038,3.4546706702242274,0.9822724652382975,0.017727534761702524,38.75242547867794
1.04,0.048,0.023716344011222038,0.04742824160989346,3.454680392254806,0.9806628556096921,0.01933714439030787,35.4976729222079
1.04,0.05,0.024704760282480143,0.04940449473923832,3.454690523296753,0.9789783037300404,0.021021696269959644,32.62514162780002
1.04,0.052,0.025693205369832266,0.051380757215206095,3.454701062763142,0.9772178849220085,0.02278211507799155,30.077153602209062
1.04,0.054,0.02668168042718744,0.053357029409632294,3.4547120100429596,0.9753806055797035,0.02461939442029648,27.806504441101342
1.04,0.056,0.027670186608613548,0.055333311694133226,3.4547233645010555,0.9734654009733009,0.02653459902669908,25.774264395782875
1.04,0.058,0.028658725068339053,0.05730960444008874,3.4547351254783956,0.9714711246884572,0.0285288753115428,23.948091989689377
1.04,0.06,0.02964729702630422,0.05928590814966629,3.4547472922922053,0.9693965538351648,0.030603446164835235,22.300948985050038
1.04,0.08,0.039535108801738564,0.07904962109430798,3.4548911138650102,0.9438895652018765,0.0561104347981235,12.003358013803151
1.04,0.1,0.04942753505860238,0.09881482320625967,3.4550745882246443,0.9079750136346547,0.09202498636534528,7.180013815206102
1.04,0.12,0.05932573403102908,0.11858188049060257,3.4552966325986305,0.8560058470006546,0.14399415299934537,4.45816680451867
1.04,0.13,0.0642773608752287,0.1284662177014598,3.455421713400186,0.8182211920404009,0.1817788079595991,3.454981013067284
1.2,0.01,0.005306820012682839,0.01061359020794838,3.454566939665342,0.9990506575499818,0.000949342450018209,729.7873506470914
1.2,0.012,0.0063681880956794985,0.012736290106749766,3.4545695781570944,0.998632361700881,0.0013676382991190117,506.4738868282164
1.2,0.014,0.007429569115053788,0.014859001530134773,3.4545726959647336,0.9981375302724125,0.0018624697275875235,371.8189278085586
1.2,0.016,0.008490957883885434,0.016981711712771293,3.454576292867104,0.9975659275194302,0.0024340724805698155,284.4217903147811
1.2,0.018,0.009552355488303615,0.019104420435095047,3.454580368621402,0.9969172733460457,0.0030827266539542597,224.50198049625197
1.2,0.02,0.010613763021303135,0.02122712749109602,3.4545849229514345,0.9961912469462413,0.0038087530537587178,181.641161304278
1.2,0.022,0.01167518157919984,0.023349832681207217,3.454589955549536,0.9953874873794482,0.004612512620551845,149.9285596898094
1.2,0.024,0.012736612260203502,0.025472535809428255,3.454595466074572,0.9945055876429871,0.005494412357012868,125.808033482125
1.2,0.026,0.01379805616370604,0.02759523668187971,3.4546014541540107,0.9935450993002422,0.006454900699757848,107.03614200731624
1.2,0.028,0.014859514389730951,0.02971793510567984,3.4546079193821413,0.9925055271265574,0.007494472873442626,92.1407748476014
1.2,0.03,0.01592098803873647,0.031840630888528766,3.454614861321122,0.9913863248045846,0.008613675195415449,80.123476717094
1.2,0.032,0.01698247821153006,0.03396332383851531,3.454622279500116,0.9901868948106167,0.009813105189383275,70.28770346937921
1.2,0.034,0.018043985372849177,0.03608601249146357,3.4546301734121143,0.9889065928212591,0.011093407178740855,62.13558551982506
1.2,0.036,0.019105511908320303,0.038208699224020946,3.4546385425300663,0.9875447116564346,0.012455288343565352,55.30353616935063
1.2,0.038,0.020167058269866457,0.04033138254563264,3.454647386282164,0.9861004861886804,0.013899513811319597,49.52106582915208
1.2,0.04,0.021228625559131152,0.042454062264599184,3.454656704067703,0.9845730919856683,0.015426908014331664,44.583578713802716
1.2,0.042,0.022290214877861304,0.0445767381890074,3.4546664952537625,0.9829616332473992,0.017038366752600842,40.333984439676904
1.2,0.044,0.023351827327859245,0.04669941012661233,3.454676759174924,0.9812651481132909,0.018734851886709092,36.65007406418125
1.2,0.046,0.02441346401096575,0.04882207788478108,3.4546874951331983,0.9794825921644816,0.020517407835518364,33.43559896984826
1.2,0.048,0.025475126029106787,0.05094474127056421,3.454698702398064,0.9776128491505439,0.022387150849456083,30.613949566494295
1.2,0.05,0.02653681448426652,0.053067400090619506,3.454710380206394,0.9756547113191584,0.024345288680841626,28.123514855939447
1.2,0.052,0.027598530478494834,0.05519005415120489,3.4547225277625544,0.9736068734519875,0.026393126548012513,25.91429407293154
1.2,0.054,0.028660275113887988,0.057312703258117575,3.454735144238338,0.9714679357852343,0.02853206421476573,23.945376305406132
1.2,0.056,0.02972204949264128,0.05943534721677713,3.4547482287730396,0.9692363847164963,0.030763615283503687,22.183016977951585
1.2,0.058,0.030783854717013476,0.06155798583213221,3.454761780473218,0.9669105854327977,0.03308941456720227,20.59918433148664
1.2,0.06,0.03184569195969554,0.06368061904930447,3.454775798413074,0.964488784165632,0.035511215834368004,19.170443785775475
1.2,0.08,0.042466063219970485,0.08490660144930319,3.454941393915994,0.9344805017345554,0.06551949826544456,10.228762912776807
1.2,0.1,0.053090842647270965,0.10613181104264363,3.4551523521114325,0.8911539716075145,0.10884602839248547,6.0149154521917145
1.2,0.12,0.06372113403539514,0.12735604151014274,3.4554072065588057,0.823177787205114,0.17682221279488597,3.5622171599831898
1.2,0.13,0.06903869197340819,0.13796772276840508,3.4555505464488663,0.7546628560476214,0.2453371439523786,2.4624729748877177
