s,v,amp_pct,step,deviation_norm,deviation_normalized
0.080,0.0232,0.3,30,2.881585e-04,2.429558e+00
0.080,0.0232,0.3,31,2.721319e-04,2.294432e+00
0.080,0.0232,0.3,32,2.569892e-04,2.166759e+00
0.080,0.0232,0.3,33,2.426825e-04,2.046135e+00
0.080,0.0232,0.3,34,2.291663e-04,1.932175e+00
0.080,0.0232,0.3,35,2.163976e-04,1.824518e+00
0.080,0.0232,0.3,36,2.043356e-04,1.722820e+00
0.080,0.0232,0.3,37,1.929417e-04,1.626754e+00
0.080,0.0232,0.3,38,1.821794e-04,1.536014e+00
0.080,0.0232,0.3,39,1.720141e-04,1.450307e+00
0.080,0.0232,0.3,40,1.624130e-04,1.369357e+00
0.080,0.0232,0.3,41,1.533452e-04,1.292903e+00
0.080,0.0232,0.3,42,1.447812e-04,1.220697e+00
0.080,0.0232,0.3,43,1.366934e-04,1.152506e+00
0.080,0.0232,0.3,44,1.290555e-04,1.088108e+00
0.080,0.0232,0.3,45,1.218426e-04,1.027295e+00
0.080,0.0232,0.3,46,1.150315e-04,9.698675e-01
0.080,0.0232,0.3,47,1.085997e-04,9.156390e-01
0.080,0.0232,0.3,48,1.025263e-04,8.644326e-01
0.080,0.0232,0.3,49,9.679154e-05,8.160809e-01
0.080,0.0232,0.3,50,9.137658e-05,7.704256e-01
0.080,0.0232,0.3,51,8.626372e-05,7.273174e-01
0.080,0.0232,0.3,52,8.143618e-05,6.866149e-01
0.080,0.0232,0.3,53,7.687814e-05,6.481845e-01
0.080,0.0232,0.3,54,7.257461e-05,6.119001e-01
0.080,0.0232,0.3,55,6.851145e-05,5.776422e-01
0.080,0.0232,0.3,56,6.467529e-05,5.452984e-01
0.080,0.0232,0.3,57,6.105351e-05,5.147619e-01
0.080,0.0232,0.3,58,5.763416e-05,4.859323e-01
0.080,0.0232,0.3,59,5.440598e-05,4.587145e-01
0.080,0.0232,0.3,60,5.135831e-05,4.330186e-01
